"","sid","rid","time"
"1",17,18,0
"2",16,15,130
"3",16,15,250
"4",15,16,290
"5",16,15,291
"6",15,16,320
"7",1,9,321
"8",15,16,380
"9",9,1,420
"10",16,15,480
"11",10,6,481
"12",1,9,482
"13",10,18,600
"14",15,16,610
"15",16,15,630
"16",17,18,650
"17",1,9,651
"18",1,9,720
"19",16,15,770
"20",1,9,790
"21",1,9,860
"22",16,15,870
"23",1,9,920
"24",1,9,980
"25",7,16,990
"26",15,16,1000
"27",10,18,1010
"28",15,16,1040
"29",1,9,1050
"30",1,9,1090
"31",16,15,1120
"32",10,6,1121
"33",1,9,1130
"34",7,16,1140
"35",15,16,1170
"36",7,16,1390
"37",13,8,1440
"38",1,9,1441
"39",9,2,1460
"40",9,1,1560
"41",9,2,1780
"42",9,2,2010
"43",10,18,2110
"44",1,20,2170
"45",5,10,2180
"46",1,20,2250
"47",9,2,2310
"48",15,16,2480
"49",3,14,2760
"50",12,6,2761
"51",9,19,2780
"52",7,15,3000
"53",9,19,3010
"54",19,9,3020
"55",14,3,3090
"56",19,9,3110
"57",9,19,3240
"58",1,9,3250
"59",5,6,3270
"60",1,20,3330
"61",1,2,3340
"62",9,19,3370
"63",1,19,3390
"64",3,14,3400
"65",1,3,3410
"66",1,4,3440
"67",14,3,3450
"68",5,6,3460
"69",1,5,3461
"70",9,20,3540
"71",19,9,3620
"72",19,9,3670
"73",4,16,3700
"74",19,9,3701
"75",19,9,3720
"76",15,16,3780
"77",3,14,3781
"78",5,6,3800
"79",9,20,3810
"80",2,1,3820
"81",19,9,3830
"82",7,9,3850
"83",14,3,3880
"84",19,9,3890
"85",3,14,3910
"86",19,9,3940
"87",5,6,3990
"88",7,9,4000
"89",19,9,4030
"90",14,3,4050
"91",9,19,4070
"92",20,9,4130
"93",12,4,4140
"94",8,9,4160
"95",9,20,4180
"96",16,15,4200
"97",12,4,4280
"98",5,6,4281
"99",15,12,4330
"100",9,7,4331
"101",9,7,4370
"102",20,9,4410
"103",9,8,4450
"104",15,12,4510
"105",4,12,4630
"106",9,20,4650
"107",1,2,4690
"108",1,2,4710
"109",9,20,4740
"110",1,2,4760
"111",1,2,4770
"112",5,6,4820
"113",1,2,4821
"114",17,6,4850
"115",1,2,4870
"116",17,6,4920
"117",1,2,4990
"118",5,6,5120
"119",9,2,5121
"120",17,6,5150
"121",16,4,5280
"122",9,2,5330
"123",5,10,5380
"124",4,12,5570
"125",5,6,5571
"126",6,5,5590
"127",9,20,5690
"128",10,5,5691
"129",9,19,5820
"130",19,9,5850
"131",19,9,5870
"132",5,6,5900
"133",11,15,5990
"134",5,6,6000
"135",19,9,6001
"136",19,9,6110
"137",5,1,6150
"138",4,16,6170
"139",19,9,6190
"140",19,9,6290
"141",9,20,6320
"142",5,10,6350
"143",17,18,6360
"144",10,5,6400
"145",19,9,6401
"146",19,9,6480
"147",17,18,6520
"148",19,9,6560
"149",9,20,6590
"150",19,9,6680
"151",9,20,6700
"152",5,6,6780
"153",9,20,6790
"154",5,6,6810
"155",5,6,6840
"156",1,20,6860
"157",17,6,6900
"158",1,20,6910
"159",9,20,6920
"160",9,20,6960
"161",15,11,7000
"162",9,19,7020
"163",1,2,7100
"164",1,2,7130
"165",12,4,7290
"166",19,9,7291
"167",11,15,7400
"168",19,9,7401
"169",17,18,7550
"170",14,12,7740
"171",3,13,7760
"172",3,13,7800
"173",9,2,7880
"174",7,12,7890
"175",13,3,7891
"176",13,3,7950
"177",1,9,7990
"178",13,3,8010
"179",13,3,8030
"180",14,2,8060
"181",19,20,8210
"182",19,20,8310
"183",13,3,8330
"184",7,15,8331
"185",3,13,8410
"186",12,16,8420
"187",3,13,8440
"188",14,4,8460
"189",9,20,8470
"190",13,3,8480
"191",13,3,8550
"192",12,7,8580
"193",20,9,8610
"194",4,6,8620
"195",9,19,8630
"196",3,13,8670
"197",3,13,8690
"198",9,1,8700
"199",4,14,8710
"200",13,3,8711
"201",1,9,8720
"202",13,3,8750
"203",9,1,8770
"204",19,9,8780
"205",1,9,8790
"206",1,9,8830
"207",15,7,8850
"208",17,10,8851
"209",9,1,8880
"210",7,9,8910
"211",15,11,8920
"212",15,11,8930
"213",9,1,8931
"214",1,9,8940
"215",16,15,8990
"216",1,9,9020
"217",14,12,9030
"218",1,9,9080
"219",9,7,9100
"220",10,18,18600
"221",10,6,18640
"222",10,5,18641
"223",10,17,18710
"224",9,19,19000
"225",9,20,19020
"226",9,1,19040
"227",1,9,19041
"228",1,9,19050
"229",12,7,19060
"230",9,2,19061
"231",1,9,19070
"232",11,7,19080
"233",5,10,19081
"234",1,9,19100
"235",6,10,19110
"236",11,7,19140
"237",20,9,19141
"238",19,9,19150
"239",11,7,19170
"240",5,10,19230
"241",11,7,19240
"242",15,16,19250
"243",19,9,19260
"244",11,7,19280
"245",12,7,19290
"246",2,9,19291
"247",7,16,19300
"248",18,10,19310
"249",7,15,19350
"250",19,9,19351
"251",5,10,19380
"252",12,7,19390
"253",20,9,19430
"254",16,12,19440
"255",19,9,19460
"256",13,2,19500
"257",12,7,19520
"258",5,10,19530
"259",18,10,19531
"260",1,9,19532
"261",15,7,19570
"262",19,9,19571
"263",8,10,19600
"264",1,2,19610
"265",1,2,19611
"266",12,7,19620
"267",5,10,19630
"268",2,9,19631
"269",18,10,19650
"270",20,9,19660
"271",19,9,19670
"272",15,7,19690
"273",8,10,19710
"274",12,7,19720
"275",16,7,19730
"276",19,9,19760
"277",5,10,19780
"278",10,6,19790
"279",15,7,19800
"280",20,9,19810
"281",19,9,19850
"282",5,10,19890
"283",6,10,19891
"284",2,9,19892
"285",13,14,19900
"286",17,18,19930
"287",15,7,19931
"288",7,10,19950
"289",19,9,19960
"290",20,9,19980
"291",5,10,20030
"292",2,9,20031
"293",15,7,20070
"294",18,10,20071
"295",16,18,20110
"296",20,9,20111
"297",17,18,20130
"298",9,19,20131
"299",8,14,20150
"300",19,9,20160
"301",20,9,20170
"302",9,1,20180
"303",7,10,20181
"304",6,7,20190
"305",9,1,20200
"306",2,9,20201
"307",7,10,20210
"308",15,7,20230
"309",5,10,20231
"310",14,4,20240
"311",9,19,20250
"312",18,10,20260
"313",6,7,20300
"314",1,10,20301
"315",2,9,20302
"316",10,6,20330
"317",16,18,20340
"318",5,10,20380
"319",18,10,20381
"320",13,2,20382
"321",1,9,20390
"322",2,9,20430
"323",8,13,20450
"324",9,20,20480
"325",18,10,20481
"326",5,10,20500
"327",5,10,20510
"328",17,18,20530
"329",9,7,20531
"330",15,7,20540
"331",18,10,20550
"332",9,7,20560
"333",2,9,20570
"334",15,7,20590
"335",16,14,20630
"336",18,10,20650
"337",1,8,20660
"338",2,9,20670
"339",9,7,20680
"340",6,4,20720
"341",9,2,20740
"342",17,10,20760
"343",15,16,20780
"344",10,18,20800
"345",10,18,20830
"346",13,8,20850
"347",8,1,20900
"348",1,9,20901
"349",10,18,20910
"350",14,8,20940
"351",19,1,20960
"352",17,10,20961
"353",16,2,20970
"354",9,7,20980
"355",8,13,21010
"356",4,14,21040
"357",17,6,21090
"358",1,19,21100
"359",19,1,21150
"360",8,10,21180
"361",9,7,21220
"362",6,10,21260
"363",16,14,21280
"364",17,18,21330
"365",9,7,21340
"366",13,7,21420
"367",16,14,21470
"368",9,7,21550
"369",13,7,21600
"370",1,2,21650
"371",9,7,21660
"372",14,13,21700
"373",9,7,21780
"374",10,5,21800
"375",15,18,21810
"376",16,12,21811
"377",9,1,21830
"378",6,17,21910
"379",16,18,21980
"380",9,7,21981
"381",9,7,22100
"382",8,16,22110
"383",5,10,22150
"384",2,13,22180
"385",9,7,22181
"386",7,10,22182
"387",5,10,22190
"388",15,16,22200
"389",9,7,22210
"390",20,6,22211
"391",1,2,22212
"392",1,2,22230
"393",9,7,22250
"394",14,6,22270
"395",4,16,22320
"396",2,1,22340
"397",20,6,22350
"398",10,6,22380
"399",1,2,22410
"400",20,6,22450
"401",4,16,22460
"402",1,2,22540
"403",10,17,22570
"404",1,2,22580
"405",7,8,22740
"406",16,2,22780
"407",9,1,22790
"408",7,9,22800
"409",17,10,22820
"410",9,1,22830
"411",6,10,22870
"412",9,1,22880
"413",17,10,22920
"414",16,14,23000
"415",20,1,23001
"416",13,9,23002
"417",2,9,23010
"418",17,10,23020
"419",7,9,23021
"420",14,13,23070
"421",7,8,23080
"422",4,12,23110
"423",17,10,23111
"424",2,1,23120
"425",12,11,23170
"426",7,10,23171
"427",8,7,23240
"428",17,10,23241
"429",10,5,23320
"430",17,10,23350
"431",9,7,23390
"432",10,5,23440
"433",8,3,23450
"434",16,8,23490
"435",8,4,23491
"436",10,5,23500
"437",6,14,23510
"438",1,2,23520
"439",2,13,23560
"440",9,1,23580
"441",19,9,23610
"442",9,2,23660
"443",8,16,23670
"444",14,4,23680
"445",19,9,23700
"446",5,10,23720
"447",9,20,23730
"448",19,9,23770
"449",9,19,23820
"450",2,9,23830
"451",8,13,23900
"452",13,2,23901
"453",6,20,23970
"454",14,18,23990
"455",1,9,24000
"456",8,14,24080
"457",12,16,24100
"458",19,9,24101
"459",18,6,24190
"460",20,9,24210
"461",9,7,24220
"462",10,7,24250
"463",9,7,24280
"464",10,7,24300
"465",8,10,24320
"466",7,15,24330
"467",2,13,24460
"468",15,7,24461
"469",9,20,24470
"470",20,19,24520
"471",1,9,24640
"472",17,10,24700
"473",16,12,24720
"474",19,20,24730
"475",13,8,24760
"476",9,1,24761
"477",18,6,24762
"478",17,10,24810
"479",1,9,24820
"480",19,20,24850
"481",1,9,24851
"482",17,10,24930
"483",17,10,25060
"484",7,9,25061
"485",14,8,25100
"486",14,8,25160
"487",7,8,25161
"488",9,7,25162
"489",16,7,25200
"490",13,8,25230
"491",17,5,25240
"492",17,5,25340
"493",17,5,25360
"494",8,13,25480
"495",10,17,25481
"496",18,12,25520
"497",13,8,25550
"498",5,17,25590
"499",9,7,25610
"500",17,10,25611
"501",7,12,25630
"502",7,12,25670
"503",7,12,25680
"504",17,10,25681
"505",1,20,25690
"506",7,12,25760
"507",2,9,25810
"508",1,2,25850
"509",14,8,25920
"510",9,2,25990
"511",14,13,26020
"512",12,16,26030
"513",7,12,26090
"514",8,7,26140
"515",6,18,26150
"516",2,1,26210
"517",19,9,26211
"518",1,9,26220
"519",17,7,26240
"520",1,2,26260
"521",1,2,26280
"522",19,9,26330
"523",19,9,26350
"524",17,7,26390
"525",19,9,26440
"526",9,2,26441
"527",9,20,26510
"528",9,1,26530
"529",9,19,26590
"530",8,7,26610
"531",1,9,26710
"532",2,9,26720
"533",18,12,26800
"534",17,8,26820
"535",6,18,26830
"536",1,2,26860
"537",1,2,26890
"538",2,9,26900
"539",18,6,26910
"540",6,18,26940
"541",17,8,26970
"542",9,2,26990
"543",10,6,27000
"544",18,6,27120
"545",13,7,27140
"546",1,2,27150
"547",9,2,27160
"548",17,8,27170
"549",12,16,27210
"550",6,18,27220
"551",1,2,27310
"552",8,4,27350
"553",10,7,27420
"554",18,16,27560
"555",6,10,27610
"556",18,6,27650
"557",19,9,27690
"558",1,2,27700
"559",6,18,27730
"560",9,8,27770
"561",14,16,27780
"562",1,2,27820
"563",9,8,27900
"564",1,2,27960
"565",8,4,28040
"566",2,1,28050
"567",8,3,28070
"568",7,8,28080
"569",9,8,28081
"570",1,2,28082
"571",12,16,28120
"572",17,9,28121
"573",1,20,28140
"574",9,8,28141
"575",7,8,28170
"576",17,9,28250
"577",14,4,28260
"578",10,9,28261
"579",7,10,28290
"580",9,10,28291
"581",15,20,28310
"582",8,7,28330
"583",19,1,28380
"584",10,9,28410
"585",1,19,28510
"586",9,19,28511
"587",5,6,28520
"588",17,5,28600
"589",14,2,28610
"590",6,5,28680
"591",4,14,28740
"592",7,11,28780
"593",15,20,28810
"594",9,7,28880
"595",15,18,29020
"596",7,9,29030
"597",20,1,29040
"598",10,18,29150
"599",14,4,29170
"600",15,20,29240
"601",2,14,29270
"602",16,18,29300
"603",18,4,29480
"604",15,18,29510
"605",19,9,29520
"606",6,10,29550
"607",7,16,29560
"608",18,4,29600
"609",8,13,29610
"610",7,15,29630
"611",19,9,29640
"612",1,9,29760
"613",15,7,29800
"614",9,19,29801
"615",3,12,29830
"616",16,7,29840
"617",1,9,29841
"618",4,14,29850
"619",18,16,29880
"620",1,2,29881
"621",19,9,29900
"622",9,1,29930
"623",4,18,29940
"624",8,13,29970
"625",14,4,29990
"626",7,10,30000
"627",6,5,30010
"628",7,10,30050
"629",15,7,30060
"630",10,7,30130
"631",13,8,30220
"632",5,6,30230
"633",9,19,30260
"634",13,8,30320
"635",8,14,30321
"636",4,18,30322
"637",6,5,30380
"638",1,20,30420
"639",5,6,30530
"640",3,18,30540
"641",5,6,30550
"642",19,9,30551
"643",13,8,30590
"644",14,3,30600
"645",9,1,30630
"646",19,9,30650
"647",8,13,30680
"648",9,1,30690
"649",1,9,30730
"650",1,9,30780
"651",8,13,30790
"652",20,1,30840
"653",1,9,30841
"654",4,8,30860
"655",14,8,30880
"656",1,20,30920
"657",1,20,30940
"658",9,1,30941
"659",7,10,30960
"660",1,20,30970
"661",20,1,30971
"662",13,8,30980
"663",6,5,31000
"664",8,14,31020
"665",2,1,31030
"666",9,8,31060
"667",8,13,31080
"668",7,9,31090
"669",9,10,31150
"670",6,10,31170
"671",20,1,31230
"672",20,1,31270
"673",9,7,31280
"674",13,8,31320
"675",10,7,31380
"676",6,7,31390
"677",1,20,31400
"678",13,8,31430
"679",18,15,31440
"680",9,19,31470
"681",1,20,31500
"682",9,20,31510
"683",15,18,31540
"684",9,2,31541
"685",19,9,31560
"686",18,4,31570
"687",9,1,31590
"688",4,20,31610
"689",1,20,31611
"690",6,8,31612
"691",8,4,31613
"692",3,14,31640
"693",13,8,31650
"694",4,18,31660
"695",9,19,31661
"696",18,10,31720
"697",1,9,31740
"698",19,9,31770
"699",9,1,31780
"700",8,3,31850
"701",20,1,31860
"702",10,9,31861
"703",2,9,31880
"704",10,9,31881
"705",10,9,31930
"706",14,13,32000
"707",20,1,32050
"708",1,2,32070
"709",8,13,32130
"710",1,2,32131
"711",10,9,32150
"712",1,2,32151
"713",1,2,32160
"714",8,14,32170
"715",20,1,32240
"716",2,1,32250
"717",14,8,32270
