session,sender,receiver,sender_dialog
2102,Ashley,Will,statement
2102,Ashley,Saleh,statement
2102,Saleh,Will,statement
2102,Oleg,Ashley,question
2102,Ashley,Will,question
2102,Will,Ashley,disruption
2102,Will,Ashley,statement
2102,Vika,Ashley,question
2102,Ashley,Vika,question
2102,Vika,Oleg,statement
2102,Oleg,Vika,statement
2102,Saleh,Vika,statement
2102,Vika,Will,statement
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Will,Vika,statement
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Vika,Ashley,statement
2102,Ashley,Vika,question
2102,Vika,Will,question
2102,Will,Vika,statement
2102,Vika,Ashley,statement
2102,Ashley,Will,backchannel
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Ashley,Will,floor-grabber
2102,Will,Vika,statement
2102,Will,Saleh,question
2102,Saleh,Oleg,statement
2102,Will,Saleh,statement
2102,Will,Saleh,statement
2102,Saleh,Will,statement
2102,Ashley,Vika,disruption
2102,Ashley,Will,backchannel
2102,Will,Oleg,statement
2102,Oleg,Ashley,floor-grabber
2102,Ashley,Will,statement
2102,Will,Oleg,statement
2102,Saleh,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Vika,statement
2102,Will,Ashley,statement
2102,Ashley,Vika,statement
2102,Vika,Will,statement
2102,Will,Saleh,disruption
2102,Saleh,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Vika,Saleh,question
2102,Saleh,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Ashley,Saleh,backchannel
2102,Ashley,Vika,backchannel
2102,Vika,Oleg,backchannel
2102,Oleg,Saleh,statement
2102,Saleh,Will,floor-grabber
2102,Will,Saleh,floor-grabber
2102,Will,Ashley,floor-grabber
2102,Ashley,Will,backchannel
2102,Will,Saleh,question
2102,Saleh,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Ashley,question
2102,Ashley,Saleh,statement
2102,Saleh,Will,backchannel
2102,Will,Will,statement
2102,Will,Saleh,statement
2102,Ashley,Will,backchannel
2102,Vika,Oleg,statement
2102,Will,Ashley,statement
2102,Will,Vika,question
2102,Will,Vika,statement
2102,Vika,Will,question
2102,Will,Vika,disruption
2102,Saleh,Saleh,statement
2102,Saleh,Will,statement
2102,Oleg,Vika,statement
2102,Vika,Oleg,statement
2102,Oleg,Will,statement
2102,Vika,Saleh,floor-grabber
2102,Saleh,Will,statement
2102,Will,Saleh,disruption
2102,Saleh,Ashley,statement
2102,Ashley,Saleh,statement
2102,Saleh,Vika,statement
2102,Vika,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Saleh,statement
2102,Saleh,Will,statement
2102,Ashley,Will,statement
2102,Saleh,Will,statement
2102,Will,Ashley,statement
2102,Will,Ashley,statement
2102,Ashley,Will,floor-grabber
2102,Will,Ashley,statement
2102,Ashley,Will,floor-grabber
2102,Saleh,Ashley,statement
2102,Ashley,Vika,statement
2102,Vika,Ashley,statement
2102,Ashley,Will,floor-grabber
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Will,statement
2102,Will,Oleg,statement
2102,Oleg,Vika,statement
2102,Vika,Vika,statement
2102,Ashley,Will,statement
2102,Will,Ashley,statement
2102,Will,Ashley,statement
2102,Ashley,Vika,statement
2102,Vika,Vika,disruption
2102,Vika,Will,statement
2102,Will,Oleg,statement
2102,Ashley,Oleg,statement
2102,Will,Oleg,statement
2102,Will,Vika,backchannel
2102,Vika,Will,statement
2102,Will,Will,question
2102,Will,Vika,statement
2102,Ashley,Will,statement
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Will,Saleh,statement
2102,Saleh,Ashley,floor-grabber
2102,Ashley,Will,statement
2102,Will,Ashley,statement
2102,Ashley,Vika,statement
2102,Vika,Ashley,statement
2102,Ashley,Vika,disruption
2102,Vika,Oleg,statement
2102,Oleg,Will,statement
2102,Will,Vika,question
2102,Vika,Will,statement
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Will,Vika,statement
2102,Vika,Vika,question
2102,Vika,Will,statement
2102,Will,Saleh,statement
2102,Saleh,Will,statement
2102,Vika,Will,statement
2102,Will,Will,statement
2102,Will,Oleg,statement
2102,Oleg,Will,statement
2102,Will,Vika,disruption
2102,Vika,Oleg,question
2102,Oleg,Oleg,statement
2102,Oleg,Vika,statement
2102,Vika,Oleg,statement
2102,Oleg,Vika,question
2102,Vika,Will,statement
2102,Will,Oleg,statement
2102,Vika,Will,statement
2102,Will,Ashley,floor-grabber
2102,Ashley,Vika,statement
2102,Vika,Oleg,question
2102,Oleg,Ashley,statement
2102,Ashley,Vika,statement
2102,Will,Oleg,statement
2102,Oleg,Oleg,statement
2102,Ashley,Will,statement
2102,Will,Vika,statement
2102,Vika,Will,question
2102,Will,Vika,statement
2102,Vika,Will,statement
2102,Will,Saleh,statement
2102,Saleh,Ashley,statement
2102,Ashley,Will,backchannel
2102,Will,Oleg,backchannel
2102,Will,Oleg,statement
2102,Oleg,Vika,statement
2102,Vika,Oleg,statement
2102,Oleg,Will,floor-grabber
2102,Will,Will,statement
2102,Will,Vika,statement
2102,Vika,Oleg,statement
2102,Oleg,Oleg,statement
2102,Oleg,Ashley,disruption
2102,Ashley,Will,question
2102,Will,Oleg,statement
2102,Oleg,Will,statement
2102,Will,Oleg,statement
2102,Saleh,Ashley,statement
2102,Ashley,Oleg,statement
2102,Oleg,Saleh,statement
2102,Oleg,Oleg,statement
2102,Oleg,Vika,statement
2102,Vika,Oleg,statement
