session,event_order,sender,receiver,sender_dialog
2102,2,Ashley,Will,statement
2102,3,Will,Igor,question
2102,5,Ashley,Igor,statement
2102,7,Will,Katya,question
2102,9,Ashley,Saleh,statement
2102,10,Saleh,Will,statement
2102,11,Will,Igor,statement
2102,13,Oleg,Ashley,question
2102,14,Ashley,Will,question
2102,15,Will,Ashley,disruption
2102,16,Ashley,Igor,floor-grabber
2102,18,Will,Ashley,statement
2102,19,Ashley,Igor,question
2102,21,Saleh,Igor,statement
2102,23,Vika,Ashley,question
2102,24,Ashley,Vika,question
2102,25,Vika,Oleg,statement
2102,26,Oleg,Vika,statement
2102,27,Vika,Igor,question
2102,29,Saleh,Vika,statement
2102,30,Vika,Igor,question
2102,33,Will,Igor,statement
2102,35,Vika,Will,statement
2102,36,Will,Vika,statement
2102,37,Vika,Igor,statement
2102,39,Vika,Igor,floor-grabber
2102,41,Vika,Igor,question
2102,43,Vika,Will,statement
2102,44,Will,Vika,statement
2102,45,Vika,Igor,statement
2102,47,Will,Ashley,statement
2102,48,Ashley,Will,statement
2102,49,Will,Vika,statement
2102,50,Vika,Will,statement
2102,51,Will,Igor,statement
2102,53,Vika,Ashley,statement
2102,54,Ashley,Vika,question
2102,55,Vika,Will,question
2102,56,Will,Vika,statement
2102,57,Vika,Ashley,statement
2102,58,Ashley,Will,backchannel
2102,59,Will,Vika,statement
2102,60,Vika,Will,statement
2102,61,Will,Igor,floor-grabber
2102,63,Ashley,Will,floor-grabber
2102,64,Will,Vika,statement
2102,65,Vika,All,statement
2102,67,Vika,Igor,statement
2102,69,Vika,Igor,question
2102,71,Will,Igor,statement
2102,73,Ashley,Igor,statement
2102,75,Saleh,Igor,floor-grabber
2102,77,Will,Saleh,question
2102,78,Saleh,Oleg,statement
2102,79,Oleg,Katya,question
2102,81,Will,Katya,statement
2102,83,Will,Saleh,statement
2102,84,Saleh,Igor,statement
2102,86,Will,Saleh,statement
2102,87,Saleh,Igor,statement
2102,89,Saleh,Will,statement
2102,90,Will,Igor,statement
2102,92,Ashley,Vika,disruption
2102,93,Vika,Igor,statement
2102,95,Ashley,Will,backchannel
2102,96,Will,Oleg,statement
2102,97,Oleg,Ashley,floor-grabber
2102,98,Ashley,Will,statement
2102,99,Will,Oleg,statement
2102,100,Oleg,Igor,disruption
2102,102,Vika,Igor,statement
2102,104,Will,Igor,statement
2102,107,Saleh,Ashley,statement
2102,108,Ashley,Will,statement
2102,109,Will,Vika,statement
2102,110,Vika,Igor,question
2102,113,Will,Ashley,statement
2102,114,Ashley,Vika,statement
2102,115,Vika,Will,statement
2102,116,Will,Igor,statement
2102,118,Will,Saleh,disruption
2102,119,Saleh,Will,statement
2102,120,Will,Ashley,statement
2102,121,Ashley,Will,statement
2102,122,Will,Ashley,statement
