"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"1",2102,"Ashley","Will","statement",1,"female",2,"male"
"2",2102,"Ashley","Saleh","statement",1,"female",3,"male"
"3",2102,"Saleh","Will","statement",3,"male",2,"male"
"4",2102,"Oleg","Ashley","question",4,"male",1,"female"
"5",2102,"Ashley","Will","question",1,"female",2,"male"
"6",2102,"Will","Ashley","disruption",2,"male",1,"female"
"7",2102,"Will","Ashley","statement",2,"male",1,"female"
"8",2102,"Vika","Ashley","question",5,"female",1,"female"
"9",2102,"Ashley","Vika","question",1,"female",5,"female"
"10",2102,"Vika","Oleg","statement",5,"female",4,"male"
"11",2102,"Oleg","Vika","statement",4,"male",5,"female"
"12",2102,"Saleh","Vika","statement",3,"male",5,"female"
"13",2102,"Vika","Will","statement",5,"female",2,"male"
"14",2102,"Will","Vika","statement",2,"male",5,"female"
"15",2102,"Vika","Will","statement",5,"female",2,"male"
"16",2102,"Will","Vika","statement",2,"male",5,"female"
"17",2102,"Will","Ashley","statement",2,"male",1,"female"
"18",2102,"Ashley","Will","statement",1,"female",2,"male"
"19",2102,"Will","Vika","statement",2,"male",5,"female"
"20",2102,"Vika","Will","statement",5,"female",2,"male"
"21",2102,"Vika","Ashley","statement",5,"female",1,"female"
"22",2102,"Ashley","Vika","question",1,"female",5,"female"
"23",2102,"Vika","Will","question",5,"female",2,"male"
"24",2102,"Will","Vika","statement",2,"male",5,"female"
"25",2102,"Vika","Ashley","statement",5,"female",1,"female"
"26",2102,"Ashley","Will","backchannel",1,"female",2,"male"
"27",2102,"Will","Vika","statement",2,"male",5,"female"
"28",2102,"Vika","Will","statement",5,"female",2,"male"
"29",2102,"Ashley","Will","floor-grabber",1,"female",2,"male"
"30",2102,"Will","Vika","statement",2,"male",5,"female"
"31",2102,"Will","Saleh","question",2,"male",3,"male"
"32",2102,"Saleh","Oleg","statement",3,"male",4,"male"
"33",2102,"Will","Saleh","statement",2,"male",3,"male"
"34",2102,"Will","Saleh","statement",2,"male",3,"male"
"35",2102,"Saleh","Will","statement",3,"male",2,"male"
"36",2102,"Ashley","Vika","disruption",1,"female",5,"female"
"37",2102,"Ashley","Will","backchannel",1,"female",2,"male"
"38",2102,"Will","Oleg","statement",2,"male",4,"male"
"39",2102,"Oleg","Ashley","floor-grabber",4,"male",1,"female"
"40",2102,"Ashley","Will","statement",1,"female",2,"male"
"41",2102,"Will","Oleg","statement",2,"male",4,"male"
"42",2102,"Saleh","Ashley","statement",3,"male",1,"female"
"43",2102,"Ashley","Will","statement",1,"female",2,"male"
"44",2102,"Will","Vika","statement",2,"male",5,"female"
"45",2102,"Will","Ashley","statement",2,"male",1,"female"
"46",2102,"Ashley","Vika","statement",1,"female",5,"female"
"47",2102,"Vika","Will","statement",5,"female",2,"male"
"48",2102,"Will","Saleh","disruption",2,"male",3,"male"
"49",2102,"Saleh","Will","statement",3,"male",2,"male"
"50",2102,"Will","Ashley","statement",2,"male",1,"female"
"51",2102,"Ashley","Will","statement",1,"female",2,"male"
"52",2102,"Will","Ashley","statement",2,"male",1,"female"
"53",2102,"Ashley","Will","statement",1,"female",2,"male"
"54",2102,"Vika","Saleh","question",5,"female",3,"male"
"55",2102,"Saleh","Will","statement",3,"male",2,"male"
"56",2102,"Will","Ashley","statement",2,"male",1,"female"
"57",2102,"Ashley","Will","statement",1,"female",2,"male"
"58",2102,"Ashley","Saleh","backchannel",1,"female",3,"male"
"59",2102,"Ashley","Vika","backchannel",1,"female",5,"female"
"60",2102,"Vika","Oleg","backchannel",5,"female",4,"male"
"61",2102,"Oleg","Saleh","statement",4,"male",3,"male"
"62",2102,"Saleh","Will","floor-grabber",3,"male",2,"male"
"63",2102,"Will","Saleh","floor-grabber",2,"male",3,"male"
"64",2102,"Will","Ashley","floor-grabber",2,"male",1,"female"
"65",2102,"Ashley","Will","backchannel",1,"female",2,"male"
"66",2102,"Will","Saleh","question",2,"male",3,"male"
"67",2102,"Saleh","Ashley","statement",3,"male",1,"female"
"68",2102,"Ashley","Will","statement",1,"female",2,"male"
"69",2102,"Will","Ashley","question",2,"male",1,"female"
"70",2102,"Ashley","Saleh","statement",1,"female",3,"male"
"71",2102,"Saleh","Will","backchannel",3,"male",2,"male"
"72",2102,"Will","Will","statement",2,"male",2,"male"
"73",2102,"Will","Saleh","statement",2,"male",3,"male"
"74",2102,"Ashley","Will","backchannel",1,"female",2,"male"
"75",2102,"Vika","Oleg","statement",5,"female",4,"male"
"76",2102,"Will","Ashley","statement",2,"male",1,"female"
