"","session","sender","receiver","sender_dialog","sender_id","sender_gender","receiver_id","receiver_gender"
"1",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"2",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"3",2103,"Oleg","Ashley","backchannel",4,"male",1,"female"
"4",2103,"Vika","Will","statement",5,"female",2,"male"
"5",2103,"Will","Vika","question",2,"male",5,"female"
"6",2103,"Vika","Ashley","question",5,"female",1,"female"
"7",2103,"Ashley","Vika","question",1,"female",5,"female"
"8",2103,"Vika","Ashley","statement",5,"female",1,"female"
"9",2103,"Ashley","Vika","statement",1,"female",5,"female"
"10",2103,"Vika","Ashley","statement",5,"female",1,"female"
"11",2103,"Ashley","Ashley","statement",1,"female",1,"female"
"12",2103,"Ashley","Vika","statement",1,"female",5,"female"
"13",2103,"Vika","Ashley","backchannel",5,"female",1,"female"
"14",2103,"Ashley","Vika","statement",1,"female",5,"female"
"15",2103,"Vika","Oleg","statement",5,"female",4,"male"
"16",2103,"Oleg","Ashley","question",4,"male",1,"female"
"17",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"18",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"19",2103,"Ashley","Ashley","statement",1,"female",1,"female"
"20",2103,"Ashley","Will","question",1,"female",2,"male"
"21",2103,"Will","Oleg","question",2,"male",4,"male"
"22",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"23",2103,"Ashley","Saleh","floor-grabber",1,"female",3,"male"
"24",2103,"Saleh","Ashley","question",3,"male",1,"female"
"25",2103,"Ashley","Will","statement",1,"female",2,"male"
"26",2103,"Will","Ashley","statement",2,"male",1,"female"
"27",2103,"Ashley","Saleh","statement",1,"female",3,"male"
"28",2103,"Saleh","Ashley","question",3,"male",1,"female"
"29",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"30",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"31",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"32",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"33",2103,"Ashley","Will","statement",1,"female",2,"male"
"34",2103,"Will","Oleg","question",2,"male",4,"male"
"35",2103,"Oleg","Will","question",4,"male",2,"male"
"36",2103,"Will","Vika","statement",2,"male",5,"female"
"37",2103,"Vika","Saleh","statement",5,"female",3,"male"
"38",2103,"Saleh","Ashley","question",3,"male",1,"female"
"39",2103,"Ashley","Vika","statement",1,"female",5,"female"
"40",2103,"Vika","Ashley","floor-grabber",5,"female",1,"female"
"41",2103,"Ashley","Vika","backchannel",1,"female",5,"female"
"42",2103,"Vika","Saleh","question",5,"female",3,"male"
"43",2103,"Saleh","Vika","question",3,"male",5,"female"
"44",2103,"Will","Vika","question",2,"male",5,"female"
"45",2103,"Oleg","Vika","question",4,"male",5,"female"
"46",2103,"Oleg","Vika","question",4,"male",5,"female"
"47",2103,"Vika","Vika","statement",5,"female",5,"female"
"48",2103,"Vika","Ashley","statement",5,"female",1,"female"
"49",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"50",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"51",2103,"Ashley","Vika","statement",1,"female",5,"female"
"52",2103,"Vika","Oleg","statement",5,"female",4,"male"
"53",2103,"Oleg","Vika","statement",4,"male",5,"female"
"54",2103,"Vika","Vika","statement",5,"female",5,"female"
"55",2103,"Vika","Oleg","statement",5,"female",4,"male"
"56",2103,"Saleh","Ashley","disruption",3,"male",1,"female"
"57",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"58",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"59",2103,"Oleg","Will","disruption",4,"male",2,"male"
"60",2103,"Oleg","Will","statement",4,"male",2,"male"
"61",2103,"Will","Oleg","statement",2,"male",4,"male"
"62",2103,"Oleg","Will","disruption",4,"male",2,"male"
"63",2103,"Will","Oleg","statement",2,"male",4,"male"
"64",2103,"Oleg","Will","question",4,"male",2,"male"
"65",2103,"Oleg","Will","statement",4,"male",2,"male"
"66",2103,"Oleg","Will","statement",4,"male",2,"male"
"67",2103,"Will","Ashley","backchannel",2,"male",1,"female"
"68",2103,"Ashley","Oleg","question",1,"female",4,"male"
"69",2103,"Will","Ashley","backchannel",2,"male",1,"female"
"70",2103,"Ashley","Vika","statement",1,"female",5,"female"
"71",2103,"Vika","Oleg","statement",5,"female",4,"male"
"72",2103,"Oleg","Vika","statement",4,"male",5,"female"
"73",2103,"Oleg","Vika","statement",4,"male",5,"female"
"74",2103,"Vika","Oleg","backchannel",5,"female",4,"male"
"75",2103,"Oleg","Saleh","floor-grabber",4,"male",3,"male"
"76",2103,"Oleg","Vika","statement",4,"male",5,"female"
"77",2103,"Vika","Will","statement",5,"female",2,"male"
"78",2103,"Vika","Oleg","statement",5,"female",4,"male"
"79",2103,"Ashley","Vika","statement",1,"female",5,"female"
"80",2103,"Vika","Saleh","statement",5,"female",3,"male"
"81",2103,"Saleh","Ashley","statement",3,"male",1,"female"
"82",2103,"Ashley","Saleh","question",1,"female",3,"male"
"83",2103,"Saleh","Will","statement",3,"male",2,"male"
"84",2103,"Will","Saleh","question",2,"male",3,"male"
"85",2103,"Saleh","Vika","statement",3,"male",5,"female"
"86",2103,"Vika","Will","statement",5,"female",2,"male"
"87",2103,"Will","Saleh","statement",2,"male",3,"male"
"88",2103,"Will","Will","statement",2,"male",2,"male"
"89",2103,"Will","Oleg","statement",2,"male",4,"male"
"90",2103,"Oleg","Saleh","question",4,"male",3,"male"
"91",2103,"Saleh","Will","statement",3,"male",2,"male"
"92",2103,"Will","Saleh","statement",2,"male",3,"male"
"93",2103,"Oleg","Saleh","statement",4,"male",3,"male"
"94",2103,"Oleg","Will","statement",4,"male",2,"male"
"95",2103,"Will","Ashley","statement",2,"male",1,"female"
"96",2103,"Oleg","Vika","statement",4,"male",5,"female"
"97",2103,"Vika","Vika","disruption",5,"female",5,"female"
"98",2103,"Vika","Oleg","question",5,"female",4,"male"
"99",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"100",2103,"Ashley","Oleg","question",1,"female",4,"male"
"101",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"102",2103,"Ashley","Oleg","question",1,"female",4,"male"
"103",2103,"Oleg","Ashley","disruption",4,"male",1,"female"
"104",2103,"Ashley","Oleg","question",1,"female",4,"male"
"105",2103,"Saleh","Oleg","statement",3,"male",4,"male"
"106",2103,"Oleg","Saleh","statement",4,"male",3,"male"
"107",2103,"Saleh","Oleg","disruption",3,"male",4,"male"
"108",2103,"Oleg","Will","statement",4,"male",2,"male"
"109",2103,"Saleh","Will","backchannel",3,"male",2,"male"
"110",2103,"Vika","Ashley","statement",5,"female",1,"female"
"111",2103,"Ashley","Vika","statement",1,"female",5,"female"
"112",2103,"Vika","Ashley","question",5,"female",1,"female"
"113",2103,"Ashley","Vika","backchannel",1,"female",5,"female"
"114",2103,"Vika","Oleg","question",5,"female",4,"male"
"115",2103,"Oleg","Saleh","statement",4,"male",3,"male"
"116",2103,"Saleh","Will","statement",3,"male",2,"male"
"117",2103,"Will","Saleh","question",2,"male",3,"male"
"118",2103,"Saleh","Oleg","question",3,"male",4,"male"
"119",2103,"Oleg","Will","statement",4,"male",2,"male"
"120",2103,"Will","Ashley","statement",2,"male",1,"female"
"121",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"122",2103,"Oleg","Ashley","statement",4,"male",1,"female"
"123",2103,"Vika","Ashley","statement",5,"female",1,"female"
"124",2103,"Ashley","Will","statement",1,"female",2,"male"
"125",2103,"Will","Vika","statement",2,"male",5,"female"
"126",2103,"Vika","Ashley","disruption",5,"female",1,"female"
"127",2103,"Ashley","Vika","floor-grabber",1,"female",5,"female"
"128",2103,"Vika","Oleg","statement",5,"female",4,"male"
"129",2103,"Oleg","Ashley","floor-grabber",4,"male",1,"female"
"130",2103,"Ashley","Will","statement",1,"female",2,"male"
"131",2103,"Will","Ashley","question",2,"male",1,"female"
"132",2103,"Ashley","Ashley","statement",1,"female",1,"female"
"133",2103,"Ashley","Oleg","statement",1,"female",4,"male"
"134",2103,"Ashley","Saleh","question",1,"female",3,"male"
"135",2103,"Saleh","Will","question",3,"male",2,"male"
"136",2103,"Will","Oleg","question",2,"male",4,"male"
"137",2103,"Oleg","Ashley","question",4,"male",1,"female"
"138",2103,"Ashley","Saleh","floor-grabber",1,"female",3,"male"
"139",2103,"Saleh","Oleg","question",3,"male",4,"male"
