"","session","time","sender_id","receiver_id","sender_gender","receiver_gender","dialog"
"1",2102,1,1,2,"Male","Female","disruption"
"2",2102,2,2,3,"Female","Male","statement"
"3",2102,3,3,1,"Male","Male","question"
"4",2102,4,1,2,"Male","Female","statement"
"5",2102,5,2,1,"Female","Male","statement"
"6",2102,6,1,3,"Male","Male","statement"
"7",2102,7,3,4,"Male","Female","question"
"8",2102,8,4,2,"Female","Female","statement"
"9",2102,9,2,5,"Female","Male","statement"
"10",2102,10,5,3,"Male","Male","statement"
"11",2102,11,3,1,"Male","Male","statement"
"12",2102,12,1,6,"Male","Male","statement"
"13",2102,13,6,2,"Male","Female","question"
"14",2102,14,2,3,"Female","Male","question"
"15",2102,15,3,2,"Male","Female","disruption"
"16",2102,16,2,1,"Female","Male","floor-grabber"
"17",2102,17,1,3,"Male","Male","floor-grabber"
"18",2102,18,3,2,"Male","Female","statement"
"19",2102,19,2,1,"Female","Male","question"
"20",2102,20,1,5,"Male","Male","statement"
"21",2102,21,5,1,"Male","Male","statement"
"22",2102,22,1,7,"Male","Female","statement"
"23",2102,23,7,2,"Female","Female","question"
"24",2102,24,2,7,"Female","Female","question"
"25",2102,25,7,6,"Female","Male","statement"
"26",2102,26,6,7,"Male","Female","statement"
"27",2102,27,7,1,"Female","Male","question"
"28",2102,28,1,5,"Male","Male","question"
"29",2102,29,5,7,"Male","Female","statement"
"30",2102,30,7,1,"Female","Male","question"
"31",2102,31,1,1,"Male","Male","statement"
"32",2102,32,1,3,"Male","Male","statement"
"33",2102,33,3,1,"Male","Male","statement"
"34",2102,34,1,7,"Male","Female","statement"
"35",2102,35,7,3,"Female","Male","statement"
"36",2102,36,3,7,"Male","Female","statement"
"37",2102,37,7,1,"Female","Male","statement"
"38",2102,38,1,7,"Male","Female","statement"
"39",2102,39,7,1,"Female","Male","floor-grabber"
"40",2102,40,1,7,"Male","Female","statement"
"41",2102,41,7,1,"Female","Male","question"
"42",2102,42,1,7,"Male","Female","statement"
"43",2102,43,7,3,"Female","Male","statement"
"44",2102,44,3,7,"Male","Female","statement"
"45",2102,45,7,1,"Female","Male","statement"
"46",2102,46,1,3,"Male","Male","statement"
"47",2102,47,3,2,"Male","Female","statement"
"48",2102,48,2,3,"Female","Male","statement"
"49",2102,49,3,7,"Male","Female","statement"
"50",2102,50,7,3,"Female","Male","statement"
"51",2102,51,3,1,"Male","Male","statement"
"52",2102,52,1,7,"Male","Female","statement"
"53",2102,53,7,2,"Female","Female","statement"
"54",2102,54,2,7,"Female","Female","question"
"55",2102,55,7,3,"Female","Male","question"
"56",2102,56,3,7,"Male","Female","statement"
"57",2102,57,7,2,"Female","Female","statement"
"58",2102,58,2,3,"Female","Male","backchannel"
"59",2102,59,3,7,"Male","Female","statement"
"60",2102,60,7,3,"Female","Male","statement"
"61",2102,61,3,1,"Male","Male","floor-grabber"
"62",2102,62,1,2,"Male","Female","statement"
"63",2102,63,2,3,"Female","Male","floor-grabber"
"64",2102,64,3,7,"Male","Female","statement"
"65",2102,65,7,0,"Female","Unspecified","statement"
"66",2102,66,7,1,"Female","Male","statement"
"67",2102,67,1,7,"Male","Female","statement"
"68",2102,68,7,1,"Female","Male","question"
"69",2102,69,1,3,"Male","Male","statement"
"70",2102,70,3,1,"Male","Male","statement"
"71",2102,71,1,2,"Male","Female","statement"
"72",2102,72,2,1,"Female","Male","statement"
"73",2102,73,1,5,"Male","Male","statement"
"74",2102,74,5,1,"Male","Male","floor-grabber"
"75",2102,75,1,3,"Male","Male","statement"
"76",2102,76,3,5,"Male","Male","question"
"77",2102,77,5,6,"Male","Male","statement"
"78",2102,78,6,4,"Male","Female","question"
"79",2102,79,4,3,"Female","Male","statement"
"80",2102,80,3,4,"Male","Female","statement"
"81",2102,81,4,3,"Female","Male","statement"
"82",2102,82,3,5,"Male","Male","statement"
"83",2102,83,5,1,"Male","Male","statement"
"84",2102,84,1,3,"Male","Male","statement"
"85",2102,85,3,5,"Male","Male","statement"
"86",2102,86,5,1,"Male","Male","statement"
"87",2102,87,1,5,"Male","Male","statement"
"88",2102,88,5,3,"Male","Male","statement"
"89",2102,89,3,1,"Male","Male","statement"
"90",2102,90,1,2,"Male","Female","question"
"91",2102,91,2,7,"Female","Female","disruption"
"92",2102,92,7,1,"Female","Male","statement"
"93",2102,93,1,2,"Male","Female","question"
"94",2102,94,2,3,"Female","Male","backchannel"
"95",2102,95,3,6,"Male","Male","statement"
"96",2102,96,6,2,"Male","Female","floor-grabber"
"97",2102,97,2,3,"Female","Male","statement"
"98",2102,98,3,6,"Male","Male","statement"
"99",2102,99,6,1,"Male","Male","disruption"
"100",2102,100,1,7,"Male","Female","statement"
"101",2102,101,7,1,"Female","Male","statement"
"102",2102,102,1,3,"Male","Male","statement"
"103",2102,103,3,1,"Male","Male","statement"
"104",2102,104,1,1,"Male","Male","statement"
"105",2102,105,1,5,"Male","Male","statement"
"106",2102,106,5,2,"Male","Female","statement"
"107",2102,107,2,3,"Female","Male","statement"
