,content
0,Sedimentologist: WHAT'S UP Y'ALL IT'S TIME TO GET DOWN TO BUSINESS @ 14:24\n
1,WHAT'S UP HOME SLICE ARE YOU READY TO GET DOWN TO BUSINESS TO MAKE SOME WELLS ON MARS!? 14:25
2,"Also, we saw y'all's video. What's poppin that was cool"
3,Sedimentologist: Real talk we saw y'all's video but I didn't see you @structgeo\n
4,WHAT'S UP DRILL!? LETSGOOOOO 14:34
5,Hydrogeologist: Helloooooooooo!!!
6,Martian Meteorology Specialist: Hey y'all! Moscow is in the house!
7,Martian Meteorology Specialist: Hey y'all! Moscow is in the house!
8,Martian Meteorology Specialist: Hey y'all! Moscow is in the house!
9,Martian Meteorology Specialist: Hey y'all! Moscow is in the house!
10,"Sedimentologist: (13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss"
11,Materials Specialist: hello
12,"(13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss"
13,"(13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss"
14,Hydrogeologist: ??????????!
15,"Materials Specialist: we recommend (13,16) and (25,21) "
16,????? ?
17,Drilling Specialist: We have arrived
18,"Martian Meteorology Specialist: We would already like to suggest two points.  The first is (28,21) and the second is (13,16)"
19,what's crackalackin
20,we are finally here
21,Structural Geologist: 6:37 HAHAHAHHAHAH uhhhhhhh I think i forgot to send a video in LMAO
22,Structural Geologist: 6:37 WE HERE NOW
23,Structural Geologist: 6:38 Hola senores
24,Structural Geologist: 6:38 estamos aqui!\n
25,"Drilling Specialist: Looking at 18, 3"
26,Hydrogeologist: ?????
27,Ayyyyy just my knees and back tbh. I need to see a chiropractor prolly.
28,"Awesome, good to have y'all. We have that one point rn 13, 16 and it's dece from our end"
29,Sedimentologist: Hahahah large rip
30,Sedimentologist: WADDUP LARGE HELLO FROM OUR END
31,Operations Specialist: chicago vibes have arrived B)
32,"Materials Specialist: and (28,21)"
33,"Sedimentologist: 100% water loss on 18, 3. Sad tbh."
34,"we are now consideringg 18,1 it works pretty good for us\n"
35,Hydrogeologist: So when you send your video?))
36,"Martian Terrain Specialist: 18,1 seems like a good option"
37,"Structural Geologist: 6:44 we're looking at (18,1)!!!!!\n"
38,"18, 3 has 100% water loss FYI"
39,"Materials Specialist: no water in 18,3 and also it's too deep"
40,"18, 3 has 100% water loss FYI"
41,"Sedimentologist: 18, 3 has 100% water loss FYI"
42,Martian Meteorology Specialist: Hey - Are you there??? :)
