"","role_id","Mission","RED_Role","Team","Qualtrics_Role","normalized_perf","normalized_perf_within","IoI","ToI","MoI"
"1",1,"C3M1S1","Drill","Robotics","Drilling Specialist (Space Robotics -HERA: Mission Specialist 2)",0.478246143424577,0,0.999999998210225,0.999797056446486,0.998596056502347
"2",2,"C3M1S1","Mats","Robotics","Materials Specialist (Space Robotics - Mars Mission Control)",0.449121555357271,0.293658338046256,0.557959564209202,0.902498671350549,0.917630874313958
"3",3,"C3M1S1","Ops","Robotics","Operations Specialist (Space Robotics - Mars Mission Control)",0.539193952457433,0,0.599676228788375,0.845002013260445,0.972319484178066
"4",4,"C3M1S1","Bio","Engineer","Biochemical Engineer (Extraterrestrial Engineering -HERA Crew: Commander)",0.719298245614035,0.673469387755102,0.749749313102391,0.747713324828511,0.794008792308855
"5",5,"C3M1S1","Fluid","Engineer","Fluid Engineer (Extraterrestrial Engineering - Mars Mission Control)",0.00000044107143172292,0,0.371461563006674,0.368439635528731,0.48433312175974
"6",6,"C3M1S1","Mech","Engineer","Mechanical Engineer (Extraterrestrial Engineering - Mars Mission Control)",0.641097566044122,0.844153294794568,0.625270828547197,0.648722622045341,0.715678470054594
"7",7,"C3M1S1","Hydro","Geology","Hydrogeologist (Planetary Geology - Mars Mission Control)",0.747625595321088,0.894508866222019,0.676333416793006,0.695020312461345,0.753716263757305
"8",8,"C3M1S1","Sedi","Geology","Sedimentologist (Planetary Geology - HERA: Mission Specialist 1)",0.379537536065574,0.179929130638104,0.60779067357513,0.643192221477481,0.669031154298558
"9",9,"C3M1S1","Struct","Geology","Structural Geologist (Planetary Geology - Mars Mission Control: MARS COM)",0.507517786074378,0.756095810626361,0.420023917649632,0.680223357749363,0.741528739887947
"10",10,"C3M1S1","Terrain","HumanFactors","Martian Terrain Specialist (Space Human Factors - Mars Mission Control)",0.575077590705595,0.340424624829468,0,0,0
"11",11,"C3M1S1","Maint","HumanFactors","Maintenance Specialist (Space Human Factors - Mars Mission Control)",0.9937651324001,0.248190459579663,0,0,0
"12",12,"C3M1S1","Meteor","HumanFactors","Martian Meteorology Specialist (Space Human Factors -HERA Crew: Flight Engineer)",0.996790127537802,0.302416212003118,0,0,0
"13",1,"C3M1S2","Drill","Robotics","Drilling Specialist (Space Robotics -HERA: Mission Specialist 2)",0.753425501123872,0.579240142190913,0.587290421288789,0.708194666179051,0.761727191513257
