"","Mission","subject","RED_Team","normalized_perf","normalized_perf_within","ToT","MoT"
"1","C3M1S1","Rob","Robotics",0.372091995572594,0.17568556036717,0.760669573728034,0.932811314192973
"2","C3M1S1","Eng","Engineer",0.478445860683579,0.574768871234767,0.425640707599049,0.425640707599049
"3","C3M1S1","Geo","Geology",0.675283896588101,0.725486855552534,0.675283897735644,0.76631850388086
"4","C3M1S1","HF","HumanFactors",0.995021011829932,0.274336152997425,0,0
"5","C3M1S2","Rob","Robotics",0.981900704097779,1,0.99403685688803,0.992803515739368
"6","C3M1S2","Eng","Engineer",0.42187562720476,0.506809647602542,0.594034162316691,0.594034162316691
"7","C3M1S2","Geo","Geology",0,0,0,0.168011046188317
"8","C3M1S2","HF","HumanFactors",0.995999461007262,0.426671570430305,0,0
"9","C3M1S3","Rob","Robotics",0.940461237448727,0.943983825990105,0.797692398398496,0.932358709938017
"10","C3M1S3","Eng","Engineer",0.126771538899817,0.152293791849379,0.120274246292096,0.120274246292096
"11","C3M1S3","Geo","Geology",0.930801008205452,1,0.685940303646021,0.774212650580302
"12","C3M1S3","HF","HumanFactors",0.995969979969761,0.422081647664583,0.630648467809123,0.630648467809123
"13","C3M2S2","Rob","Robotics",0.242123891748345,0,0.633176715466977,0.451652875813451
"14","C3M2S2","Eng","Engineer",0.607497656384802,0.729801992098294,0.92871030904371,0.92871030904371
"15","C3M2S2","Geo","Geology",0.470423445610935,0.505396364490293,0.470423446509764,0.619334889569909
"16","C3M2S2","HF","HumanFactors",0.998987912202957,0.891945568223612,0.570158466290019,0.570158466290019
"17","C3M2S3","Rob","Robotics",0.910607535130809,0.903628813749173,0.959042685861363,0.938669837968628
"18","C3M2S3","Eng","Engineer",0.576461038378164,0.69251693361094,0.880170082267678,0.880170082267678
"19","C3M2S3","Geo","Geology",0.470423445610935,0.505396364490293,0.470423446509764,0.619334889569909
"20","C3M2S3","HF","HumanFactors",0.997553168377889,0.668569326958441,0.63835464057539,0.63835464057539
"21","C3M3S2","Rob","Robotics",0.891809269602518,0.878218088224282,0.952519258485244,0.995592567741679
"22","C3M3S2","Eng","Engineer",0.832414357541217,1,0.840531492460593,0.840531492460593
"23","C3M3S2","Geo","Geology",0.738812399416194,0.793738288746158,0.738812381524604,0.811907009169929
"24","C3M3S2","HF","HumanFactors",0.996367879485525,0.484030893710923,0.42085183347604,0.42085183347604
"25","C3M4S2","Rob","Robotics",0.973542511916591,0.988701738089568,0.879536292794719,0.968565979752998
"26","C3M4S2","Eng","Engineer",0,0,0.00000874843372644651,0.00000874843372644651
"27","C3M4S2","Geo","Geology",0.508156988777767,0.545935150798208,0.508156992213737,0.646309920366685
"28","C3M4S2","HF","HumanFactors",0.993258952896195,0,0,0
"29","C3M4S3","Rob","Robotics",0.751498880915344,0.688552250710983,0.875024184199427,0.959830186588275
"30","C3M4S3","Eng","Engineer",0.219155423896318,0.263276842729694,0.19174770759911,0.19174770759911
"31","C3M4S3","Geo","Geology",0.411776349957047,0.442389239297169,0.411776354680455,0.577222028571273
"32","C3M4S3","HF","HumanFactors",0.999681944960802,1,0.885496737147224,0.885496737147224
"33","C4M1S1","Rob","Robotics",0.963155889977827,0.966283420526162,0.890776128,0.964362481
"34","C4M1S1","Eng","Engineer",0.0217486522170254,0.0286227415430962,0.031691368,0.031691368
"35","C4M1S1","Geo","Geology",0.518067277150458,0.0890798317989597,0.518067261,0.653616035
"36","C4M1S1","HF","HumanFactors",0.997933776131272,0.612529992002133,0.436241508,0.436241508
"37","C4M1S2","Rob","Robotics",0.714990365325628,0.549169074232059,0.777036537,0.636670066
"38","C4M1S2","Eng","Engineer",0.658019855847847,0.866122703044333,0.68447894,0.670794249
"39","C4M1S2","Geo","Geology",0.789577526073907,0.602272130000442,0.789577512,0.848558171
"40","C4M1S2","HF","HumanFactors",0.996546938992144,0.351675108859859,0.278925427,0.278925427
"41","C4M1S3","Rob","Robotics",0.727928083388988,0.570914672538266,0.586982505,0.957718841
"42","C4M1S3","Eng","Engineer",0.654979822740916,0.862121221293331,0.653303474,0.653303474
"43","C4M1S3","Geo","Geology",0.794851195242662,0.612240101417355,0.794890418,0.852456106
