,content,recipient,sender,sentOnBehalfOf,session,block
0,Hello! Please confirm when the crew is online and ready to begin.,eng3,vc3,vc3,1901,
1,"Hydrogeologist: Hello Geo!
",teamGeo,teamGeo,geo1,1901,
2,Session start,geo2,geo3,geo3,1901,
3,Hello! Please confirm when the crew is online and ready to begin. ,eng2,vc3,vc3,1901,
4,Hello! Please confirm when the crew is online and ready to begin. ,con1,vc3,vc3,1901,
5,Hello! Please confirm when the crew is online and ready to begin. ,con3,vc3,vc3,1901,
6,Hello! Please confirm when the crew is online and ready to begin. ,vc2,vc3,vc3,1901,
7,hi,vc3,eng1,eng1,1901,
8,Greetings,eng1,vc3,vc3,1901,
9,test,con2,eng1,eng1,1901,
10,Structural Geologist: Testing,teamConstr,teamGeo,geo2,1901,
11,Hi!,eng1,eng3,eng3,1901,
12,"Hi, baby",eng3,eng2,eng2,1901,
13,ok,geo1,vc2,vc2,1901,
14,"Hello
",vc3,vc1,vc1,1901,
15,"O, Yeah!
",eng2,eng3,eng3,1901,
16,"hello
",vc2,geo1,geo1,1901,
17,official start,geo2,geo3,geo3,1901,
18,Hello! ,eng3,eng1,eng1,1901,
19,Good afternoon!,vc1,vc3,vc3,1901,
20,"Hi!
",eng1,eng2,eng2,1901,
21,Hydrogeologist: hello!,teamvc,teamGeo,geo1,1901,
22,"Hello, we are ready!
",con2,con1,con1,1901,
23,Maintenance Specialist: Good afternoon!,teamGeo,teamvc,vc3,1901,
24,"Biochemical Engineer: Hi team, any preference on where we begin?",teamEng,teamEng,eng1,1901,
25,"hi
",con1,con2,con2,1901,
26,Hi!,con2,eng2,eng2,1901,
27,"Hi!
",con3,eng3,eng3,1901,
28,"Hi Justin, this is Harrison",geo2,vc3,vc3,1901,
29,"Sedimentologist: is someone logging in as the drilling specialist at Sirius?
",teamConstr,teamGeo,geo3,1901,
30,"Hello! 
",eng2,eng1,eng1,1901,
31,"Hi!
",geo1,eng3,eng3,1901,
32,Sydney; this is Harrison,eng1,vc3,vc3,1901,
33,"Operations Specialist: Hello, no, drilling person is in usa 
",teamGeo,teamConstr,con1,1901,
34,"Martian Meteorology Specialist: Hello. Any first picks for location?
",teamGeo,teamvc,vc1,1901,
35,Hi; this is Harrison,con2,vc3,vc3,1901,
36,hello fluid engineer. good afternoon,eng3,geo1,geo1,1901,
37,Hydrogeologist: hello engineering team!,teamEng,teamGeo,geo1,1901,
38,Mechanical Engineer: Good luck!,teamGeo,teamEng,eng2,1901,
39,"Hydrogeologist: 44, 36
",teamGeo,teamGeo,geo1,1901,
40,"Hydrogeologist: 23, 49",teamGeo,teamGeo,geo1,1901,
41,"Biochemical Engineer: We are currently looking at 23, 49",teamEng,teamEng,eng1,1901,
42,Biochemical Engineer: How would this work for you? ,teamEng,teamEng,eng1,1901,
43,"Fluid Engineer: 39,24?",teamGeo,teamEng,eng3,1901,
44,Structural Geologist: The amount of available water there is fairly low,teamEng,teamGeo,geo2,1901,
45,"Sedimentologist: hmm the water available looks pretty low and the water loss is 1 for 39,24",teamEng,teamGeo,geo3,1901,
46,"Structural Geologist: Can you check 23, 49 for us?

",teamEng,teamGeo,geo2,1901,
47,"We have 30 minutes remaining
",vc2,geo3,geo3,1901,
48,"Drilling Specialist: FYI, we are looking at co-ordinates 23,49 and 44,36 based on geology teams recommendations",teamGeo,teamConstr,con2,1901,
49,Mechanical Engineer: i try,teamGeo,teamEng,eng2,1901,
50,"Does 23, 49 look like a good spot with the information you have?",con3,geo2,geo2,1901,
51,"Hydrogeologist: 2nd Usable Water Flow, Most Liked by Maintenance + BioChem (23, 49)
",teamGeo,teamGeo,geo1,1901,
52,"Maintenance Specialist: Hello; 23, 49 looks good to us so far. Do you have any good coordinates?",teamvc,teamvc,vc3,1901,
53,"Maintenance Specialist: Hello; 23, 49 looks good to us so far. Do you have any good coordinates?
",teamConstr,teamvc,vc3,1901,
54,"Hydrogeologist: We are looking at (23, 49) , (44, 36)
 ",teamvc,teamGeo,geo1,1901,
55,"Hi, could you give me your values for 23,49",con3,con2,con2,1901,
56,"Hi, could you give me your values for 23,49",con1,con2,con2,1901,
57,"Drilling Specialist: Hi guys, could you send me your values for co-ordinates 23,49",teamConstr,teamConstr,con2,1901,
58,Do you have any coordinate reccomendations?,con1,geo2,geo2,1901,
59,"Sedimentologist: 44, 36 still looks like the best, though I'd like to find something with less water loss",teamGeo,teamGeo,geo3,1901,
60,"Operations Specialist: Hello, what about 39,23? 
",teamvc,teamConstr,con1,1901,
61,Maintenance Specialist: Unusable :(,teamConstr,teamvc,vc3,1901,
62,Maintenance Specialist: Population reached is very low,teamConstr,teamvc,vc3,1901,
63,"Drilling Specialist: My values for 39, 23 are: 0.5, 1500, Present, Present, Not Present",teamConstr,teamConstr,con2,1901,
64,Drilling Specialist: Could you share your values too? Thanks,teamConstr,teamConstr,con2,1901,
65,"Martian Meteorology Specialist: 23,49 reaches 7,979, meteorology cost 3321",teamConstr,teamvc,vc1,1901,
66,"Mechanical Engineer: it's ok I think
",teamEng,teamEng,eng2,1901,
67,Mechanical Engineer: i choose some data (i hope7:/),teamEng,teamEng,eng2,1901,
68,"Operations Specialist: but as for 23,49 location we have stone layer 
 ",teamvc,teamConstr,con1,1901,
69,"Martian Meteorology Specialist: 23,49 looks Ok. What pump, filter, and pipe specs are you using?
",teamvc,teamvc,vc1,1901,
70,Maintenance Specialist: Is that a good or bad meteorology cost?,teamConstr,teamvc,vc3,1901,
71,"operational cost per hour 60
",con2,con1,con1,1901,
72,"Cooper
47
",eng2,eng3,eng3,1901,
