Type_MessageDTO,_id,session,creationDateTime,content,recipient,sender,sentOnBehalfOf,timeZone
MessageDTO, "628628f02d0eb26212554cdb","628623dd2d0eb26212554b10","2022-05-19T11:24:32.294+0000","Sedimentologist: WHAT'S UP Y'ALL IT'S TIME TO GET DOWN TO BUSINESS @ 14:24\n","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "628629102d0eb26212554d73","628623dd2d0eb26212554b10","2022-05-19T11:25:04.910+0000","WHAT'S UP HOME SLICE ARE YOU READY TO GET DOWN TO BUSINESS TO MAKE SOME WELLS ON MARS!? 14:25","con1","geo3","geo3","America/Chicago"
MessageDTO, "628629212d0eb26212554dc0","628623dd2d0eb26212554b10","2022-05-19T11:25:21.157+0000","Also, we saw y'all's video. What's poppin that was cool","con1","geo3","geo3","America/Chicago"
MessageDTO, "62862abf2d0eb26212555b6e","628623dd2d0eb26212554b10","2022-05-19T11:32:15.121+0000","Sedimentologist: Real talk we saw y'all's video but I didn't see you @structgeo\n","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "62862b572d0eb2621255675d","628623dd2d0eb26212554b10","2022-05-19T11:34:47.013+0000","WHAT'S UP DRILL!? LETSGOOOOO 14:34","con2","geo3","geo3","America/Chicago"
MessageDTO, "62862b792d0eb26212556ad0","628623dd2d0eb26212554b10","2022-05-19T11:35:21.301+0000","Hydrogeologist: Helloooooooooo!!!","teamGeo","teamGeo","geo1","America/Chicago"
MessageDTO, "62862b882d0eb26212556c53","628623dd2d0eb26212554b10","2022-05-19T11:35:36.878+0000","Martian Meteorology Specialist: Hey y'all! Moscow is in the house!","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "62862b8b2d0eb26212556c9a","628623dd2d0eb26212554b10","2022-05-19T11:35:39.674+0000","Martian Meteorology Specialist: Hey y'all! Moscow is in the house!","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "62862b8f2d0eb26212556cf2","628623dd2d0eb26212554b10","2022-05-19T11:35:43.027+0000","Martian Meteorology Specialist: Hey y'all! Moscow is in the house!","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "62862b962d0eb26212556da7","628623dd2d0eb26212554b10","2022-05-19T11:35:50.471+0000","Martian Meteorology Specialist: Hey y'all! Moscow is in the house!","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "62862ba32d0eb26212556f06","628623dd2d0eb26212554b10","2022-05-19T11:36:03.161+0000","Sedimentologist: (13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "62862ba52d0eb26212556f36","628623dd2d0eb26212554b10","2022-05-19T11:36:05.339+0000","Materials Specialist: hello","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "62862ba72d0eb26212556f73","628623dd2d0eb26212554b10","2022-05-19T11:36:07.824+0000","(13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss","con1","geo3","geo3","America/Chicago"
MessageDTO, "62862bab2d0eb26212556fd8","628623dd2d0eb26212554b10","2022-05-19T11:36:11.646+0000","(13, 16) - 69% loss, 302118.49 available, ?93,656.7319? after loss","con2","geo3","geo3","America/Chicago"
MessageDTO, "62862bbc2d0eb2621255717b","628623dd2d0eb26212554b10","2022-05-19T11:36:28.718+0000","Hydrogeologist: ??????????!","teamvc","teamGeo","geo1","America/Chicago"
MessageDTO, "62862bc42d0eb26212557226","628623dd2d0eb26212554b10","2022-05-19T11:36:36.085+0000","Materials Specialist: we recommend (13,16) and (25,21) ","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "62862be02d0eb26212557661","628623dd2d0eb26212554b10","2022-05-19T11:37:04.096+0000","????? ?","con3","geo1","geo1","America/Chicago"
MessageDTO, "62862be92d0eb26212557811","628623dd2d0eb26212554b10","2022-05-19T11:37:13.087+0000","Drilling Specialist: We have arrived","teamGeo","teamConstr","con2","America/Chicago"
MessageDTO, "62862bec2d0eb262125578a0","628623dd2d0eb26212554b10","2022-05-19T11:37:16.076+0000","Martian Meteorology Specialist: We would already like to suggest two points.  The first is (28,21) and the second is (13,16)","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "62862bf42d0eb26212557a22","628623dd2d0eb26212554b10","2022-05-19T11:37:24.282+0000","what's crackalackin","geo3","con1","con1","America/Chicago"
MessageDTO, "62862c062d0eb26212557dad","628623dd2d0eb26212554b10","2022-05-19T11:37:42.977+0000","we are finally here","geo3","con1","con1","America/Chicago"
MessageDTO, "62862c0b2d0eb26212557e83","628623dd2d0eb26212554b10","2022-05-19T11:37:47.345+0000","Structural Geologist: 6:37 HAHAHAHHAHAH uhhhhhhh I think i forgot to send a video in LMAO","teamGeo","teamGeo","geo2","America/Chicago"
MessageDTO, "62862c162d0eb262125580bc","628623dd2d0eb26212554b10","2022-05-19T11:37:58.019+0000","Structural Geologist: 6:37 WE HERE NOW","teamGeo","teamGeo","geo2","America/Chicago"
MessageDTO, "62862c312d0eb26212558651","628623dd2d0eb26212554b10","2022-05-19T11:38:25.019+0000","Structural Geologist: 6:38 Hola senores","teamConstr","teamGeo","geo2","America/Chicago"
MessageDTO, "62862c3e2d0eb262125588e2","628623dd2d0eb26212554b10","2022-05-19T11:38:38.108+0000","Structural Geologist: 6:38 estamos aqui!\n","teamConstr","teamGeo","geo2","America/Chicago"
MessageDTO, "62862c9f2d0eb26212559cba","628623dd2d0eb26212554b10","2022-05-19T11:40:15.066+0000","Drilling Specialist: Looking at 18, 3","teamGeo","teamConstr","con2","America/Chicago"
MessageDTO, "62862cca2d0eb2621255a5b0","628623dd2d0eb26212554b10","2022-05-19T11:40:58.564+0000","Hydrogeologist: ?????","teamGeo","teamGeo","geo1","America/Chicago"
MessageDTO, "62862cd42d0eb2621255a7e7","628623dd2d0eb26212554b10","2022-05-19T11:41:08.279+0000","Ayyyyy just my knees and back tbh. I need to see a chiropractor prolly.","con1","geo3","geo3","America/Chicago"
MessageDTO, "62862cea2d0eb2621255acd1","628623dd2d0eb26212554b10","2022-05-19T11:41:30.519+0000","Awesome, good to have y'all. We have that one point rn 13, 16 and it's dece from our end","con1","geo3","geo3","America/Chicago"
MessageDTO, "62862cf82d0eb2621255afe7","628623dd2d0eb26212554b10","2022-05-19T11:41:44.193+0000","Sedimentologist: Hahahah large rip","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "62862d0d2d0eb2621255b50c","628623dd2d0eb26212554b10","2022-05-19T11:42:05.454+0000","Sedimentologist: WADDUP LARGE HELLO FROM OUR END","teamConstr","teamGeo","geo3","America/Chicago"
MessageDTO, "62862d202d0eb2621255b972","628623dd2d0eb26212554b10","2022-05-19T11:42:24.802+0000","Operations Specialist: chicago vibes have arrived B)","teamvc","teamConstr","con1","America/Chicago"
MessageDTO, "62862d2f2d0eb2621255bc94","628623dd2d0eb26212554b10","2022-05-19T11:42:39.442+0000","Materials Specialist: and (28,21)","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "62862d6f2d0eb2621255cb82","628623dd2d0eb26212554b10","2022-05-19T11:43:43.007+0000","Sedimentologist: 100% water loss on 18, 3. Sad tbh.","teamConstr","teamGeo","geo3","America/Chicago"
MessageDTO, "62862d7c2d0eb2621255ce22","628623dd2d0eb26212554b10","2022-05-19T11:43:56.214+0000","we are now consideringg 18,1 it works pretty good for us\n","geo3","con1","con1","America/Chicago"
MessageDTO, "62862d8b2d0eb2621255d132","628623dd2d0eb26212554b10","2022-05-19T11:44:11.006+0000","Hydrogeologist: So when you send your video?))","teamGeo","teamGeo","geo1","America/Chicago"
