,Unnamed: 0,content,recipient,sender,sentOnBehalfOf,session,block
0,0,Hello!,eng3,vc3,vc3,1901,
0,0,Please confirm when the crew is online and ready to begin.,eng3,vc3,vc3,1901,
1,1,Hydrogeologist: Hello Geo!,teamGeo,teamGeo,geo1,1901,
1,1,,teamGeo,teamGeo,geo1,1901,
2,2,Session start,geo2,geo3,geo3,1901,
3,3,Hello!,eng2,vc3,vc3,1901,
3,3,Please confirm when the crew is online and ready to begin.,eng2,vc3,vc3,1901,
3,3,,eng2,vc3,vc3,1901,
4,4,Hello!,con1,vc3,vc3,1901,
4,4,Please confirm when the crew is online and ready to begin.,con1,vc3,vc3,1901,
4,4,,con1,vc3,vc3,1901,
5,5,Hello!,con3,vc3,vc3,1901,
5,5,Please confirm when the crew is online and ready to begin.,con3,vc3,vc3,1901,
5,5,,con3,vc3,vc3,1901,
6,6,Hello!,vc2,vc3,vc3,1901,
6,6,Please confirm when the crew is online and ready to begin.,vc2,vc3,vc3,1901,
6,6,,vc2,vc3,vc3,1901,
7,7,hi,vc3,eng1,eng1,1901,
8,8,Greetings,eng1,vc3,vc3,1901,
9,9,test,con2,eng1,eng1,1901,
10,10,Structural Geologist: Testing,teamConstr,teamGeo,geo2,1901,
11,11,Hi!,eng1,eng3,eng3,1901,
12,12,"Hi,",eng3,eng2,eng2,1901,
12,12,baby,eng3,eng2,eng2,1901,
13,13,ok,geo1,vc2,vc2,1901,
14,14,"Hello
",vc3,vc1,vc1,1901,
15,15,"O,",eng2,eng3,eng3,1901,
15,15,Yeah!,eng2,eng3,eng3,1901,
15,15,,eng2,eng3,eng3,1901,
16,16,"hello
",vc2,geo1,geo1,1901,
17,17,official start,geo2,geo3,geo3,1901,
18,18,Hello!,eng3,eng1,eng1,1901,
18,18,,eng3,eng1,eng1,1901,
19,19,Good afternoon!,vc1,vc3,vc3,1901,
20,20,Hi!,eng1,eng2,eng2,1901,
20,20,,eng1,eng2,eng2,1901,
21,21,Hydrogeologist: hello!,teamvc,teamGeo,geo1,1901,
22,22,"Hello,",con2,con1,con1,1901,
22,22,we are ready!,con2,con1,con1,1901,
22,22,,con2,con1,con1,1901,
23,23,Maintenance Specialist: Good afternoon!,teamGeo,teamvc,vc3,1901,
