,Unnamed: 0,speaker,content,block,session
0,0,Nastya, Ninety and slash or?,0,1903
1,1,Ryan to Zheny,And then just your number.,0,1903
1,1,Ryan to Zheny,So [UI],0,1903
2,2,Natash,No…,0,1903
3,3,Zheny,[UI],0,1903
4,4,Ali,You have a password.,0,1903
5,5,Nasty,What password?,0,1903
6,6,Rya,"Sirius capital “S,” lower case the rest in “Sirius” and then one nine at [@ sign]",0,1903
7,7,Nasty,"Ah,",0,1903
7,7,Nasty,the “at sign.”,0,1903
8,8,Rya,Mhm.,0,1903
9,9,Rya,At your number.,0,1903
9,9,Rya,Which is three and six.,0,1903
10,10,Nasty,No…,0,1903
11,11,Dash,You don’t get very many attempts to log in.,0,1903
11,11,Dash,Before [SL] it shuts down.,0,1903
12,12,Natasha to Rya,Can you do it?,0,1903
13,13,Zheny,"Oh,",0,1903
13,13,Zheny,was that possible?,0,1903
14,14,Dash,How?,0,1903
15,15,Zheny,We get several tries.,0,1903
16,16,Dash,//[UI],0,1903
17,17,Ali,//[UI]… //I tried.,0,1903
18,18,Zheny,//[UI],0,1903
19,19,Natash,//[UI],0,1903
20,20,Zheny,"Well,",0,1903
20,20,Zheny,it’s still not going to make it.,0,1903
21,21,Nastya to Ali,[UI],0,1903
22,22,Alik to Nasty,"//Yes,",0,1903
22,22,Alik to Nasty,I don’t remember what.,0,1903
23,23,Natasha to Rya,"//Oh,",0,1903
23,23,Natasha to Rya,thank you.,0,1903
24,24,Rya,"//So,",0,1903
24,24,Rya,crew dash two.,0,1903
24,24,Rya,Capital “S”…,0,1903
25,25,Nasty,"//Well what,",0,1903
25,25,Nasty,did you find it?,0,1903
25,25,Nasty,…No?,0,1903
26,26,Ali,So crew dash number and then what?,0,1903
27,27,Rya,Capital “S” – Sirius.,0,1903
28,28,Dash,[UI],0,1903
29,29,Rya,One nine.,0,1903
30,30,Ali,Yes.,0,1903
31,31,Rya,At.,0,1903
32,32,Ali,Mhm.,0,1903
33,33,Rya,[UI],0,1903
34,34,Ali,That’s it?,0,1903
35,35,Rya,Five.,0,1903
36,36,Nasty,Letters all upper or //lower case?,0,1903
37,37,Rya,//Lower case.,0,1903
38,38,Natash,Lower case and upper case.,0,1903
39,39,Ali,Lower case.,0,1903
40,40,Zheny,What do you need?,0,1903
41,41,Natash,A small spoon… And I didn’t get a cup.,0,1903
41,41,Natash,Thank you.,0,1903
42,42,Ali,"So,",0,1903
42,42,Ali,let’s turn on the recorder and begin the process.,0,1903
43,43,Dash,Are we going to watch the whole video again [UI]?,0,1903
43,43,Dash,…The video again?,0,1903
43,43,Dash,"Yes,",0,1903
43,43,Dash,we’re going to rewatch it?,0,1903
44,44,Ali,Yes.,0,1903
45,45,Zheny,"That’s fine,",0,1903
45,45,Zheny,do nothing and watch a video.,0,1903
46,46,Ali,"At first,",0,1903
46,46,Ali,yes.,0,1903
46,46,Ali,The video is //fourteen minutes…,0,1903
47,47,Zheny,//That’s pretty good.,0,1903
48,48,Dash,The clock is ticking…,0,1903
49,49,Zheny,The soldier sleeps away his service.,0,1903
50,50,Natash,Ready to turn on.,0,1903
51,51,Ali,Everyone ready?,0,1903
52,52,Natash,Yes.,0,1903
53,53,Ali,"One,",0,1903
53,53,Ali,"two,",0,1903
53,53,Ali,three.,0,1903
54,54,Zheny,Okay.,0,1903
55,55,Ali,"Now we need to open Project Red,",0,1903
55,55,Ali,"Training,",0,1903
55,55,Ali,"Training videos… Project Red,",0,1903
55,55,Ali,"Training,",0,1903
55,55,Ali,Training videos…,0,1903
56,56,Zheny,Training… Training videos,0,1903
57,57,Ali,Mhm… And play.,0,1903
57,57,Ali,"Only one computer will have sound,",0,1903
57,57,Ali,and we’ll all// listen to it.,0,1903
58,58,Natash,//Can we listen to it all with headphones?,0,1903
59,59,Dash,"Yes,",0,1903
59,59,Dash,let’s do headphones.,0,1903
60,60,Ali,You want to use headphones?,0,1903
60,60,Ali,"//Well,",0,1903
60,60,Ali,"go ahead,",0,1903
60,60,Ali,as you like.,0,1903
61,61,Natash,"//Well,",0,1903
61,61,Natash,of course…,0,1903
62,62,Dash,//Which video?,0,1903
63,63,Ali,The first one: Design overview.,0,1903
64,64,Zheny,Excellent.,0,1903
65,65,Ali,We’ve seen this three times now.,0,1903
