,content,labels_h
1," Okay. Today is April 5th, 2022. It is mission day 152. The time is 2:30PM. Three, two, one. //Mark.",s
2,//Mark.,s
3, Let’s get down to business.,s
4, Darn!,s
5, It’s not working for me again. Is it working for everyone?,q
6, Mhm.,b
7," What is it, is there a problem?",q
8," It seems so. Okay. Maybe, I should log in again?",q
9, Give it time.,s
10, Huh?,q
11, Check eleven forty-one.,s
12, Really bad for me.,s
13, Huh?,q
14, No water.,s
15, Oh.,b
16, Okay.,b
17, Can I suggest thirty-seven thirteen?,q
18," No, sorry.",s
19, Thirty-seven thirteen.,s
20, Not bad. Not bad. Really good actually.,s
21, Actually. Is thirty-seven twelve any better for you?,q
22," Probably not, but let me check.",s
23, For me…,d
24, No water.,s
25," It would be better, but //it’s okay.",s
26," //Okay. So, thirty-seven eleven was good, right? Or…wait, what did I say first?",q
27, Thirty-seven thirteen.,s
28, Thirteen.,s
29, Thirteen,s
30," So, there is water at thirty-seven thirteen.",q
31, Mhm.,b
32, And for everyone else?,q
33, It’s okay.,s
34, Oh.,b
35, It’s not the best.,s
36," But, maybe.",s
37," Well, maybe. In fact, why not, right? And, let’s wrap it up then.",s
38, How about you?,q
39," I’ll tell you now. Well, possible. It’s borderline. Borderline.",s
40, Okay. Okay.,b
41, There’s a lot of water.,s
42, Ho-ho-ho.,s
43, So…,d
44," Well, there will be 10% loss.",s
45," It’s very little, if…",d
46, Thirty-nine twenty-eight. Thirty-nine twenty-eight.,s
47, [SL] One sec.,s
48, Not bad. Not bad.,s
49, 30% losses.,s
50, Which one? Which one?,s
51, Thirty-nine twenty-eight. For you?,q
52, //30% losses.,s
53, No water.,s
54," No water. Okay. So, for now still thirty-seven thirteen.",b
55, We keep thirty-seven thirteen.,s
56, Mhm.,b
57, Thirty-one thirty?,q
58, Not the best for me.,s
59, It’s okay for me.,s
60, It’s actually a pretty good one.,s
61," Oleg, will you be able to filter it? Thirty-one thirty.",q
62, Hold on.,b
63, The previous was…The first one was better.,s
64, It’s better for me too but…,d
65, [UI],d
66," Oh, they are playing now.",s
67, What happened?,q
68, The lights…,d
69," No, it’s 60% contamination.",s
70," Okay. So, thirty-seven thirteen is still the best. So maybe I should suggest it to my team?",q
71, Me too.,s
72," Yeah, I think so.",s
73, [SL] Seventy-five,s
74, Hm.,b
75, Thirty-one thirteen – is there a lot of water?,q
76," Yes, it seems so. Eighty-eight thousand.",s
77, That’s not little.,s
78, More than the other point?,q
79, No. The other one – there’s a hundred and twenty-two there.,s
80, Oh-ho-ho.,b
81, Thousand.,s
82, 60% total.,s
83, One twenty-two. Could you check please? One twenty-two.,q
84, Did you get any reply from them?,q
85, Not yet.,s
86, Not yet. One twenty-two?,q
87, Yep.,s
88, You guessed.,s
89, No water?,q
90, No water.,s
91, Darn.,b
92," Okay, I won’t look at it.",s
93, Exactly.,s
94, Fuck.,s
95, Darn! Everything is spoilt!,s
96, How about one one?,q
97, Hold on.,s
98, We’ll look now.,s
99," Where is it? Ah, okay, here.",s
100, No water.,s
101, Okay.,s
102," Well, okay, okay.",b
103, Why isn’t there absolutely clean water?,b
104, Let’s see.,s
105, Does your family have any date trees?,q
106, Hm?,q
107, Does your family have any date trees? Come on! Of course!,s
108, It’s the normal.,s
109, There is… “What do you…what do you think of me? Do you think I don’t have any date trees?! Come on! What are you saying?”,q
110, What are you looking at?,q
111, What?,q
112, Forty-nine.,s
113, Forty-nine what?,q
114, What?,q
115, Forty. //Nine.,s
116," //Oh, forty forty-nine?",q
117, And nine.,s
118," So, forty and nine. No? Nothing. Okay.",s
119, Darn!,s
120, Nice guy.,s
