,content,labels_h
0,	
1, Everything is ON. I have everything.	,s
2," I have nothing. Wait, just a second. Uno momento por favor."	,s
3, Nothing [UI]	,s
4," I am sitting. Oh, sorry."	,s
5, Video [UI]	,d
6," Oh, I started already. Phew! In my isolation?"	,q
7," Yeah, it’s working now."	,s
8, What is interesting there?	,q
9, Cool. Everything? Everyone?	,q
10, [UI]	,d
11, Cool.	,b
12," Yes, yes."	,b
13, Alright.	,f
14," Today is May 19th, 2022. It’s mission day 196. The time is 2:31PM. Three, two, one. //Mark!"	,s
15, //Mark!	,s
16, Do you need a tissue? I’ll put it down there for you guys.	,q
17," Guys, who wants juice?"	,q
18," Oh. Sure, Vika."	,s
19, What do you need?	,q
20, Compote…Com-pote! Com-pote!	,s
21, Tiger?	,q
22, Yes.	,b
23, Will?	,q
24," Yes, please."	,b
25, Oleg?	,q
26," Why are you //lying, Ash? You are enjoying [UI]"	,q
27," No, thank you."	,b
28, We have to make them feel good.	,s
29," Pass it on, please."	,s
30," Yeah, I might’ve been a little overboard there. Oh, shit!"	,s
31, I don’t know if…	,d
32, What? What did you do?	,q
33, Later. When we’re not…	,d
34, Okay.	,f
35," Should I dilute it for you, Will?"	,q
36, Give me half.	,s
37, Okay.	,b
38," It’s okay. It’s recorded, you know?"	,s
39, I know. That’s why it’s…	,d
40," Vika, can you get me just some water?"	,q
41," Yes, sure."	,b
42, Thank you.	,s
43, Do you want it warm or cold?	,q
44, Warm. Warm.	,s
45," I wish they gave us, like…"	,d
46, It can even be hot.	,s
47," A survey, and there we would rate all the experiments. Which one we like and which one we don’t like."	,s
48, Not wet?	,q
49," Poop, sleep, and [SL] Belmont are going to be towards the bottom."	,s
50, Sleep study also.	,s
51," Yeah. Poop, sleep and [SL] Belmont. These three."	,s
52, Please look at twenty-eight twenty-one.	,s
53, Twenty-eight twenty-one.	,s
54," Too good, but I don’t know if there is any water there."	,s
55," Average water loss…//not super, but not too bad."	,s
56, //Why is my decision calculator is not showing?	,q
57," Overall, it’ll do. What?"	,q
58, This thing is not coming up for me. Decision calculator is //not showing up.	,s
59, //Because you’re not cool enough.	,s
60, Log out and try to log in again.	,s
61, Scoff?	,q
62," Ah, there it is."	,s
63, Which point?	,q
64, [SL] I can’t change //my [UI].	,d
65," //Oleg, what point did you have?"	,q
66, Twenty-eight twenty-one.	,s
67, Thank you.	,s
68, Twenty-eight twenty-one.	,b
69, Twenty-one.	,b
70, //Why does it not want to work?	,q
71, //It’s okay.	,s
72, //Yes.	,b
73, There on [UI] only large ones.	,s
74," Yes, yes, yes."	,b
75, Without much loss.	,s
76, Not the worst.	,s
77," Sorry, I still can’t see it because I am having an issue."	,s
78," Is there water, or?"	,q
79, Yeah.	,s
80," So, it’s good for everyone?"	,q
81, Ask them. I still can’t check.	,s
82, I assume there isn’t that much there.	,s
83, Now everything is showing. Okay.	,s
84, Sixty-two.	,s
85, It is very good for me. Did we find our point already?	,q
86, Okay…This one is great – thirteen sixteen.	,s
87, Thirteen sixteen.	,b
88, Sixteen?	,b
89, Thirteen sixteen.	,s
90," Yeah. …Not bad. //In fact, it is very…in fact, it is very good."	,s
91, //Not bad at all.	,s
92, Not too much loss…	,s
93, Because for me the loss is only 10%.	,s
94, Population is much better.	,s
95," Well, I have 69% loss, but there is so much water there that it is not as important."	,s
96, Please tell me what point it is.	,s
97, Thirteen sixteen.	,s
98, Thank you.	,s
99, Okay.	,f
100," The water is murky there, but it is well within the first step of cleaning. Only ten percent loss."	,s
101, It’s okay.	,s
102, I understand that it is okay for Salya too. It’s not too deep.	,s
103, Another similar one – six twenty-nine.	,s
104," Six twenty-nine. It’s not too bad either. I like all of them. Thirteen sixteen is the best in terms of the population, but…"	,d
105," Will, what about you?"	,q
106, Which one?	,q
107, Six twenty-nine.	,s
108, Six twenty-nine. Just a second.	,b
109, I will tell you right now that it is good for Salya. You don’t need it. You will like it.	,s
110, Six twenty…	,b
111, Nine.	,s
112, Six?	,b
113, Six.	,s
114, Twenty…	,s
115, Nine.	,s
116, Okay.	,b
117, No water.	,s
118," Ah, okay. Okay."	,b
119, Perfect.	,b
120," But twenty-eight twenty-one and thirteen sixteen were good in terms of water, correct?"	,q
121," Yes, yes."	,b
122, Cool.	,b
123," So, I have water loss at 10% maximum."	,s
124, Phew.	,b
125," Well, here’s another interesting one – twenty-three six."	,s
126, Twenty-three six …No water.	,s
127, Okay.	,b
128," Today, Oleg was active at first."	,s
129," Today, for me it is for some reason…Usually, I mark points, and they are all…dirty water from which no…"	,d
130," Well, you have found water at 50% today. It is very good."	,s
131," There, yes. But generally speaking, there is practically no clean water. So, we are having to…"	,d
132," Four thirty-nine, please. Four thirty-nine."	,s
133," Worse than those suggested by Oleg, but not too bad."	,s
134, //No water.	,s
135, //No water.	,s
136," Well, okay."	,b
137, And what about forty-two six?	,q
138, Forty-two six.	,b
139, Which one?	,q
140, Forty-two six.	,s
141, No water.	,s
142, Nuts.	,b
143," [SL] Well, okay."	,s
144, Twenty…twenty-five sixteen.	,s
145, Okay. Twenty-five sixteen?	,q
146, Yeah.	,b
147, No water.	,s
148, Careful. The water is hot.	,s
149, No water.	,s
150," By way, for the most part, there is only hot water."	,s
151, How about thirty-six six?	,q
152, Temperature?	,q
153, No water.	,s
154," Well, okay."	,b
155, Why are you starting it? We were communicating just fine.	,q
156, [SL] Do we have a point?	,q
157," Ho ho ho, what about thirty-five two?"	,q
158, Is it your point or they sent you?	,q
159, Mine.	,s
160, Nuts.	,b
161," Oh, no. What’s the matter?"	,q
162," No? Oh, never mind."	,q
163, What? [SL] Sign out.	,q
164, Such water in general…it is at the last one.	,s
165, How could you? Shame! Shame! Shame!	,q
166, Alright! Alright!	,f
167, There it is worse than in a puddle.	,s
168, Between thirteen sixteen and twenty-five twenty-one which one do you like?	,q
169, You mean twenty-eight twenty-one?	,q
170, Huh?	,b
171," It was twenty-eight twenty-one. You said twenty-eight twenty-one, didn’t you?"	,q
172," Yes, twenty-eight twenty-one //and thirteen sixteen."	,s
173, //It was twenty-eight twenty-one.	,s
174, What is “large RIP”?	,q
175, Large RIP…	,b
176, It means that they will put in RIP.	,s
177," Yes, yes. On the grave."	,s
178, Yes. “Large RIP” –  it means that you are not happy…It’s a slang expression for “you are wrong; you’ve made a huge mistake”.	,s
179," Ah, okay."	,b
180, Fatal mistake. RIP.	,s
181, And RIP – is it an acronym or is it a word?	,q
182," //It is an acronym, It …"	,d
183, //Rest in…	,d
184, Rest in peace.	,s
185, Rest in peace.	,s
186," Yes. “Rest in peace”. When people die, they count on it."	,s
187, And we say – “Rest with peace”	,s
188," Oh, yes."	,s
189, What is it in Russian?	,q
190, Rest with peace.	,s
191, Rest with peace?	,b
192, I like the subject today. //Rest quickly!	,s
193, //Quickly! Quickly!	,f
194, Eighteen three.	,s
195, Eighteen three.	,b
196, [UI]	,d
197," Yeah. Drilling suggested, right?"	,q
198, Yeah.	,b
199, Are you and me in the same crew? Robotics?	,q
200, [SL] Sure is.	,s
201, It’s not bad.	,s
202, 100% water loss.	,s
203, Okay. Very bad.	,s
204, It’s too deep also.	,s
205," It’s weird. I don’t think my chat is working, because I wrote in robotics and mine didn’t show up and I’m not getting those."	,s
