,preds,explanations
0,f,"The utterance ""okay."" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to gain attention and interrupt the current speaker. "
1,f,"The utterance ""so um"" is classified as a Floor Grabber (<f>) because it contains two common floor grabbers used to gain attention and interrupt the current speaker. "
2,s,"The utterance ""i was going to try to get out of here like in half an hour."" is classified as a Statement (<s>) because it is a complete and coherent statement. "
3,f,"The utterance ""um"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to regain attention or signal a change in topic. "
4,s,"The utterance ""because i really appreciate people coming."" is classified as a Statement (<s>) because it is a complete and coherent statement."
5,s,This utterance is classified as a statement (<s>) because it expresses a statement of the main thing the speaker wants to ask for help with. 
6,s,This utterance is also classified as a statement (<s>) because it provides additional information about what transcribers or discourse coders put in the signal. 
7,f,"This utterance is classified as a floor grabber (<f>) because it is a filler word (""um"") used by the speaker to interrupt and gain attention. "
8,s,This utterance is classified as a statement (<s>) because it presents a starting point for the discussion. 
9,s,This utterance is classified as a statement (<s>) because it provides information about the copy of Dave Gelbart's program that Don brought.
10,b,"The utterance ""yeah"" is a backchannel, as it is a common backchannel response indicating agreement or acknowledgement. "
11,s,"The utterance ""yeah i'm i'm familiar with that"" is a statement, as it provides information and does not exhibit any characteristics of other dialogue acts. "
12,s,"The utterance ""i mean we i sort of already have developed an x.m.l. format for this sort of stuff"" is a statement, as it provides information and does not exhibit any characteristics of other dialogue acts. "
13,f,"The utterance ""um"" is a floor grabber, as it is a common floor grabber used to gain attention or interrupt the current speaker. "
14,d,"The utterance ""which"" is an incomplete utterance, as it is an unfinished sentence that does not provide complete information."
15,q,"The utterance ""can i see it?"" is a question because it starts with the question word ""can"" and ends with a question mark. "
16,s,"The utterance ""and so the only question is it the sort of thing that you want to use or not."" is a statement because it does not contain any question words or question marks. "
17,q,"The utterance ""have you looked at that?"" is a question because it starts with the question word ""have"" and ends with a question mark. "
18,f,"The utterance ""i mean i had a web page up."" is a floor grabber because it starts with the floor grabber phrase ""i mean"" which is commonly used to interrupt and gain attention. "
19,b,"The utterance ""right."" is a backchannel because it is a short utterance that indicates agreement or understanding without directly addressing anyone."
20,f,"The utterance ""so"" is classified as a Floor Grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. "
21,s,"The utterance ""i actually mostly need to be able to link up or"" is classified as a Statement because it is a complete sentence expressing a need or requirement. "
22,f,"The utterance ""so"" is classified as a Floor Grabber because it is a common floor grabber used to regain attention or signal a change in topic. "
23,s,"The utterance ""it's it's a question both of what the representation is and"" is classified as a Statement because it is a complete sentence providing information or explanation. "
24,q,"The utterance ""you mean this?"" is classified as a Question because it is a direct question asking for clarification."
25,s,"The utterance ""i guess i am going to be standing up and drawing on the board."" is classified as a Statement (<s>) because it is a declarative sentence expressing the speaker's intention to stand up and draw on the board. "
26,b,"The utterance ""okay."" is classified as a Backchannel (<b>) because it is a short, non-committal response that indicates the listener's acknowledgement or agreement. "
27,b,"The utterance ""yeah."" is classified as a Backchannel (<b>) for the same reasons as the previous utterance. "
28,s,"The utterance ""so you should definitely."" is classified as a Statement (<s>) because it is a declarative sentence expressing the speaker's suggestion or recommendation. "
29,f,"The utterance ""um so so it definitely had that as a concept."" is classified as a Floor Grabber (<f>) because it contains a floor grabber (""um"") which indicates the speaker's attempt to gain or maintain the floor."
30,f,"The utterance ""so it has a single timeline."" is classified as a Floor Grabber (<f>) because it starts with the floor grabber ""so"" which is used to gain attention and interrupt the current speaker. "
31,b,"The utterance ""uhhuh."" is classified as a Backchannel (<b>) because it is a short utterance that indicates the listener is following along or paying attention. "
32,s,"The utterance ""and then you can have lots of different sections."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption. "
33,s,"The utterance ""each of which have i.d.'s attached to it."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption. "
34,s,"The utterance ""and then you can refer from other sections to those i.d.'s."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption."
35,s,"The utterance ""if you want to."" is classified as a statement (<s>) because it is a complete sentence expressing a condition. "
36,s,"The utterance ""so that"" is classified as a Statement (<s>) because it does not fit the criteria for any other dialogue act. It is a complete sentence that expresses a statement or opinion. "
37,f,"The utterance ""um"" is classified as a floor grabber (<f>) because it is a common floor grabber used to gain attention or interrupt the current speaker. "
38,s,"The utterance ""so that you start with with a timeline tag."" is classified as a statement (<s>) because it is a complete sentence expressing a purpose. "
39,s,"The utterance ""timeline."" is classified as a Statement (<s>) because it does not fit the criteria for any other dialogue act. It is a complete sentence that expresses a statement or opinion."
40,s,"The utterance ""and then you have a bunch of times"" is classified as a Statement. It is a complete sentence that provides information without asking a question or showing interruption. "
41,d,"The utterance ""i don't i don't remember exactly what my notation was"" is classified as an Incomplete Utterance. It is marked as incomplete due to the repetition and lack of a complete sentence structure. "
42,s,"The utterance ""oh i remember seeing an example of this"" is classified as a Statement. It is a complete sentence that provides information without asking a question or showing interruption. "
43,f,"The utterance ""but it"" is classified as a Floor Grabber. It is a short phrase that is used to interrupt the current speaker and gain attention. "
44,b,"The utterance ""right"" is classified as a Backchannel. It is a short utterance that shows the listener is following along and paying attention."
45,b,"The utterance ""right."" is a backchannel as it is a short response that indicates the listener is following along or paying attention. "
46,b,"The utterance ""yeah."" is also a backchannel as it is a short response that indicates the listener is following along or paying attention. "
47,b,"The utterance ""yeah."" is again a backchannel as it is a short response that indicates the listener is following along or paying attention. "
48,s,"The utterance ""t. equals one point three two."" is a statement as it is a complete sentence providing information. "
49,f,"The utterance ""uh"" is a floor grabber as it is used to gain attention and interrupt the current speaker."
50,f,"The utterance ""and then i i also had optional things like accuracy."" contains the floor grabber ""and then"" which is used to gain attention and interrupt the current speaker. This indicates that the speaker wants to take the floor and commence speaking. "
51,s,"The utterance ""and then i.d. equals t. one uh one seven."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation. "
52,s,"The utterance ""and then i also wanted to to be to be able to not specify specifically what the time was and just have a stamp."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation. "
53,b,"The utterance ""right."" is a backchannel. It is a short utterance that indicates the listener is following along or paying attention. "
54,s,"The utterance ""yeah so these are arbitrary assigned by a program."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation."
55,s,"The first utterance is classified as a statement (<s>) because it does not exhibit any specific linguistic or semantic features that would classify it as a different dialogue act. It is a straightforward statement without any indication of being a question, floor grabber, incomplete utterance, or backchannel. "
56,s,The second utterance is also classified as a Statement (<s>) because it does not contain any question words or indicators of incompleteness. It is a simple statement. 
57,s,The third utterance is classified as a Statement (<s>) because it does not contain any question words or indicators of incompleteness. It is a simple statement. 
58,s,The fourth utterance is classified as a Statement (<s>) because it does not contain any question words or indicators of incompleteness. It is a simple statement. 
59,s,The fifth utterance is classified as a Statement (<s>) because it does not contain any question words or indicators of incompleteness. It is a simple statement.
60,s,"The utterance ""so what that's saying is we know it starts at this particular time."" is classified as a Statement (<s>) because it is a declarative sentence providing information. "
61,s,"The utterance ""we don't know when it ends."" is classified as a Statement (<s>) because it is a declarative sentence providing information. "
62,b,"The utterance ""okay."" is classified as a Backchannel (<b>) because it is a short, non-committal response indicating that the listener is following along. "
63,q,"The utterance ""right?"" is classified as a Question (<q>) because it is a sentence asking for confirmation. "
64,s,"The utterance ""but it ends at this t. eighteen."" is classified as a Statement (<s>) because it is a declarative sentence providing information."
65,q,"The utterance ""which may be somewhere else."" is classified as a question (<q>) because it starts with the word ""which"" and is seeking information. "
66,s,"The utterance ""we say there's another utterance."" is classified as a statement (<s>) because it is a declarative sentence providing information. "
67,s,"The utterance ""we don't know what the time actually is."" is classified as a statement (<s>) because it is a declarative sentence providing information. "
68,s,"The utterance ""but we know that it's the same time as this end time."" is classified as a statement (<s>) because it is a declarative sentence providing information. "
69,b,"The utterance ""huh."" is classified as a backchannel (<b>) because it is a short, non-committal utterance indicating listening or understanding."
70,s,"The utterance ""you know thirty eight"" is a statement because it is a declarative sentence expressing a fact or opinion. "
71,s,"The utterance ""whatever you want"" is a statement because it is a declarative sentence expressing a general statement or opinion. "
72,s,"The utterance ""so you're essentially defining a lattice"" is a statement because it is a declarative sentence expressing a fact or opinion. "
73,f,"The utterance ""okay"" is a floor grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. "
74,b,"The utterance ""yes"" is a backchannel because it is a short utterance indicating agreement or acknowledgement without directly addressing anyone."
75,s,"The utterance ""exactly."" is a statement because it is a complete sentence expressing agreement or confirmation. "
76,b,"The utterance ""yeah."" is a backchannel because it is a short, non-committal response indicating that the listener is following along. "
77,s,"The utterance ""and then uh and then these also have i.d.'s."" is a statement because it is a complete sentence providing additional information. "
78,q,"The utterance ""right?"" is a question because it is a sentence asking for confirmation or agreement. "
79,s,"The utterance ""so you could you could have some sort of other other tag later in the file that would be something like um oh i don't know uh noise type equals door slam."" is a statement because it is a complete sentence expressing a possibility or suggestion."
80,b,"The utterance ""you know?"" is a backchannel because it is a common backchannel phrase used to indicate understanding or agreement. "
81,f,"The utterance ""and then uh you could either say time equals a particular time mark or you could do other sorts of references."" is a floor grabber because it starts with ""and then"" which is a common floor grabber phrase used to interrupt and gain attention. It also includes the filler word ""uh"" which is another floor grabber. "
82,s,"The utterance ""so or or you might have a prosody."" is a statement because it doesn't have any specific features of other dialogue acts and is a complete sentence expressing a thought. "
83,s,"The utterance ""prosody."" is a statement because it is a single word expressing a thought. "
84,q,"The utterance ""right?"" is a question because it ends with a question mark and is seeking confirmation or agreement."
85,d,The first utterance is marked as an Incomplete Utterance (<d>) because it ends with a question mark and is incomplete. 
86,d,The second utterance is marked as an Incomplete Utterance (<d>) because it ends with a question mark and is incomplete. 
87,s,"The utterance ""it's an o. instead of an i. ."" is classified as a Statement (<s>) because it is a complete and coherent sentence expressing a fact or opinion. "
88,s,"The utterance ""but the d. is good."" is classified as a Statement (<s>) because it is a complete and coherent sentence expressing a fact or opinion. "
89,q,"The fifth utterance is marked as a Question (<q>) because it starts with ""you like"" and ends with a question mark, indicating that it is asking for someone's preference."
90,b,"The utterance ""yeah"" is a backchannel because it is a short, non-committal response that indicates the listener is following along. "
91,d,"The utterance ""that's a good d."" is an incomplete utterance because it ends abruptly and is marked with the symbol ""d."". "
92,f,"The utterance ""um"" is a floor grabber because it is a filler word used to gain attention or indicate a pause in speech. "
93,s,"The utterance ""you know so you could have some sort of type here."" is a statement because it is a complete sentence expressing an idea. "
94,f,"The utterance ""and then you could have"" is a floor grabber because it is a filler word used to gain attention or indicate a pause in speech."
95,f,"The utterance ""um"" is a common floor grabber used to gain attention and interrupt the current speaker. It is often repeated to emphasize the speaker's desire to speak. "
96,s,"The utterance ""the utterance that it's referring to could be u. seventeen or something like that"" is a statement. It provides additional information and does not fit the criteria for any other dialogue act. "
97,f,"The utterance ""okay"" is a floor grabber used to gain attention and potentially interrupt the current speaker. It is often used to indicate agreement or understanding. "
98,f,"The utterance ""so"" is a floor grabber used to gain attention and potentially interrupt the current speaker. It is often used to transition to a new topic or provide a summary. "
99,s,"The utterance ""i mean that seems that seems great for all of the encoding of things with time"" is a statement. It expresses an opinion or observation and does not fit the criteria for any other dialogue act."
100,f,"The utterance ""and"" is classified as a Floor Grabber because it is a common floor grabber used to gain attention and interrupt the current speaker. "
101,f,"The utterance ""oh well"" is classified as a Floor Grabber because it is a floor grabber used to regain attention or signal a change in topic. "
102,f,"The utterance ""um"" is classified as a Floor Grabber because it is a common floor grabber used to gain attention or signal hesitation. "
103,q,"The utterance ""i i guess my question is more uh what what do you do with say a forced alignment?"" is classified as a Question because it is a direct question asking for information. "
104,s,"The utterance ""i mean you've got all these phone labels"" is classified as a Statement because it is a statement expressing an opinion or providing information."
105,s,The first utterance is classified as a Statement because it is a complete sentence that expresses a question about what to do in a specific situation. 
106,s,The second utterance is classified as a Statement because it is a complete sentence that asks about the sequence of steps in a specific process. 
107,s,The third utterance is classified as a Statement because it is a short phrase that expresses agreement or understanding. 
108,s,The fourth utterance is classified as a Statement (<s>) because it is a complete and coherent sentence that provides information or expresses a thought. 
109,f,"The fifth utterance is classified as a Floor Grabber (<f>) because it is a common floor grabber (""um"") used to gain attention or interrupt the current speaker."
