,preds,explanations,true,utterance
0,f,"The utterance ""okay."" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to gain attention and interrupt the current speaker. ",f,okay.
1,f,"The utterance ""so um"" is classified as a Floor Grabber (<f>) because it contains two common floor grabbers used to gain attention and interrupt the current speaker. ",f,so um
2,s,"The utterance ""i was going to try to get out of here like in half an hour."" is classified as a Statement (<s>) because it is a complete and coherent statement. ",s,i was going to try to get out of here like in half an hour.
3,f,"The utterance ""um"" is classified as a Floor Grabber (<f>) because it is a common floor grabber used to regain attention or signal a change in topic. ",f,um
4,s,"The utterance ""because i really appreciate people coming."" is classified as a Statement (<s>) because it is a complete and coherent statement.",s,because i really appreciate people coming.
5,s,This utterance is classified as a statement (<s>) because it expresses a statement of the main thing the speaker wants to ask for help with. ,s,and the main thing that i was going to ask people to help with today is to give input on what kinds of database format we should use in starting to link up things like word transcripts and annotations of word transcripts.
6,s,This utterance is also classified as a statement (<s>) because it provides additional information about what transcribers or discourse coders put in the signal. ,s,so anything that transcribers or discourse coders or whatever put in the signal with time marks for like words and phone boundaries and all the stuff we get out of the forced alignments and the recognizer.
7,f,"This utterance is classified as a floor grabber (<f>) because it is a filler word (""um"") used by the speaker to interrupt and gain attention. ",d,so we have this um
8,s,This utterance is classified as a statement (<s>) because it presents a starting point for the discussion. ,s,i think a starting point is clearly the the channelized output of dave gelbart's program.
9,s,This utterance is classified as a statement (<s>) because it provides information about the copy of Dave Gelbart's program that Don brought.,s,which don brought a copy of.
10,b,"The utterance ""yeah"" is a backchannel, as it is a common backchannel response indicating agreement or acknowledgement. ",b,yeah.
11,s,"The utterance ""yeah i'm i'm familiar with that"" is a statement, as it provides information and does not exhibit any characteristics of other dialogue acts. ",s,yeah i'm i'm familiar with that.
12,s,"The utterance ""i mean we i sort of already have developed an x.m.l. format for this sort of stuff"" is a statement, as it provides information and does not exhibit any characteristics of other dialogue acts. ",s,i mean we i sort of already have developed an x.m.l. format for this sort of stuff.
13,f,"The utterance ""um"" is a floor grabber, as it is a common floor grabber used to gain attention or interrupt the current speaker. ",f,um
14,d,"The utterance ""which"" is an incomplete utterance, as it is an unfinished sentence that does not provide complete information.",d,which
15,q,"The utterance ""can i see it?"" is a question because it starts with the question word ""can"" and ends with a question mark. ",q,can i see it?
16,s,"The utterance ""and so the only question is it the sort of thing that you want to use or not."" is a statement because it does not contain any question words or question marks. ",s,and so the only question is it the sort of thing that you want to use or not.
17,q,"The utterance ""have you looked at that?"" is a question because it starts with the question word ""have"" and ends with a question mark. ",q,have you looked at that?
18,f,"The utterance ""i mean i had a web page up."" is a floor grabber because it starts with the floor grabber phrase ""i mean"" which is commonly used to interrupt and gain attention. ",s,i mean i had a web page up.
19,b,"The utterance ""right."" is a backchannel because it is a short utterance that indicates agreement or understanding without directly addressing anyone.",s,right.
20,f,"The utterance ""so"" is classified as a Floor Grabber because it is a common floor grabber used to gain attention or interrupt the current speaker. ",f,so
21,s,"The utterance ""i actually mostly need to be able to link up or"" is classified as a Statement because it is a complete sentence expressing a need or requirement. ",d,i actually mostly need to be able to link up or
22,f,"The utterance ""so"" is classified as a Floor Grabber because it is a common floor grabber used to regain attention or signal a change in topic. ",f,so
23,s,"The utterance ""it's it's a question both of what the representation is and"" is classified as a Statement because it is a complete sentence providing information or explanation. ",d,it's it's a question both of what the representation is and
24,q,"The utterance ""you mean this?"" is classified as a Question because it is a direct question asking for clarification.",q,you mean this?
25,s,"The utterance ""i guess i am going to be standing up and drawing on the board."" is classified as a Statement (<s>) because it is a declarative sentence expressing the speaker's intention to stand up and draw on the board. ",s,i guess i am going to be standing up and drawing on the board.
26,b,"The utterance ""okay."" is classified as a Backchannel (<b>) because it is a short, non-committal response that indicates the listener's acknowledgement or agreement. ",s,okay.
27,b,"The utterance ""yeah."" is classified as a Backchannel (<b>) for the same reasons as the previous utterance. ",s,yeah.
28,s,"The utterance ""so you should definitely."" is classified as a Statement (<s>) because it is a declarative sentence expressing the speaker's suggestion or recommendation. ",s,so you should definitely.
29,f,"The utterance ""um so so it definitely had that as a concept."" is classified as a Floor Grabber (<f>) because it contains a floor grabber (""um"") which indicates the speaker's attempt to gain or maintain the floor.",s,um so so it definitely had that as a concept.
30,f,"The utterance ""so it has a single timeline."" is classified as a Floor Grabber (<f>) because it starts with the floor grabber ""so"" which is used to gain attention and interrupt the current speaker. ",s,so it has a single timeline.
31,b,"The utterance ""uhhuh."" is classified as a Backchannel (<b>) because it is a short utterance that indicates the listener is following along or paying attention. ",s,uhhuh.
32,s,"The utterance ""and then you can have lots of different sections."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption. ",s,and then you can have lots of different sections.
33,s,"The utterance ""each of which have i.d.'s attached to it."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption. ",s,each of which have i.d.'s attached to it.
34,s,"The utterance ""and then you can refer from other sections to those i.d.'s."" is classified as a Statement (<s>) because it is a complete statement that provides information without being a question, floor grabber, backchannel, or disruption.",s,and then you can refer from other sections to those i.d.'s.
35,s,"The utterance ""if you want to."" is classified as a statement (<s>) because it is a complete sentence expressing a condition. ",s,if you want to.
36,s,"The utterance ""so that"" is classified as a Statement (<s>) because it does not fit the criteria for any other dialogue act. It is a complete sentence that expresses a statement or opinion. ",d,so that
37,f,"The utterance ""um"" is classified as a floor grabber (<f>) because it is a common floor grabber used to gain attention or interrupt the current speaker. ",f,um
38,s,"The utterance ""so that you start with with a timeline tag."" is classified as a statement (<s>) because it is a complete sentence expressing a purpose. ",s,so that you start with with a timeline tag.
39,s,"The utterance ""timeline."" is classified as a Statement (<s>) because it does not fit the criteria for any other dialogue act. It is a complete sentence that expresses a statement or opinion.",s,timeline.
40,s,"The utterance ""and then you have a bunch of times"" is classified as a Statement. It is a complete sentence that provides information without asking a question or showing interruption. ",s,and then you have a bunch of times.
41,d,"The utterance ""i don't i don't remember exactly what my notation was"" is classified as an Incomplete Utterance. It is marked as incomplete due to the repetition and lack of a complete sentence structure. ",s,i don't i don't remember exactly what my notation was.
42,s,"The utterance ""oh i remember seeing an example of this"" is classified as a Statement. It is a complete sentence that provides information without asking a question or showing interruption. ",s,oh i remember seeing an example of this.
43,f,"The utterance ""but it"" is classified as a Floor Grabber. It is a short phrase that is used to interrupt the current speaker and gain attention. ",d,but it
44,b,"The utterance ""right"" is classified as a Backchannel. It is a short utterance that shows the listener is following along and paying attention.",s,right.
45,b,"The utterance ""right."" is a backchannel as it is a short response that indicates the listener is following along or paying attention. ",s,right.
46,b,"The utterance ""yeah."" is also a backchannel as it is a short response that indicates the listener is following along or paying attention. ",s,yeah.
47,b,"The utterance ""yeah."" is again a backchannel as it is a short response that indicates the listener is following along or paying attention. ",s,yeah.
48,s,"The utterance ""t. equals one point three two."" is a statement as it is a complete sentence providing information. ",s,t. equals one point three two.
49,f,"The utterance ""uh"" is a floor grabber as it is used to gain attention and interrupt the current speaker.",f,uh
50,f,"The utterance ""and then i i also had optional things like accuracy."" contains the floor grabber ""and then"" which is used to gain attention and interrupt the current speaker. This indicates that the speaker wants to take the floor and commence speaking. ",s,and then i i also had optional things like accuracy.
51,s,"The utterance ""and then i.d. equals t. one uh one seven."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation. ",s,and then i.d. equals t. one uh one seven.
52,s,"The utterance ""and then i also wanted to to be to be able to not specify specifically what the time was and just have a stamp."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation. ",s,and then i also wanted to to be to be able to not specify specifically what the time was and just have a stamp.
53,b,"The utterance ""right."" is a backchannel. It is a short utterance that indicates the listener is following along or paying attention. ",s,right.
54,s,"The utterance ""yeah so these are arbitrary assigned by a program."" is a statement. It does not contain any floor grabbers, questions, or backchannels. It provides information without seeking a response or interrupting the flow of conversation.",s,yeah so these are arbitrary assigned by a program.
