,preds,explanations
0,s,"The first utterance ""Everything is ON. I have everything."" is a statement because it is a complete sentence expressing a fact or information. "
1,s,"The second utterance ""I have nothing. Wait, just a second. Uno momento por favor."" is also a statement because it is a complete sentence expressing a fact or information. "
2,d,"The third utterance ""Nothing [UI]"" is marked as incomplete (<d>) because it contains an unintelligible portion indicated by ""[UI]"". "
3,s,"The fourth utterance ""I am sitting. Oh, sorry."" is a statement because it is a complete sentence expressing a fact or information. "
4,d,"The fifth utterance ""Video [UI]"" is marked as incomplete (<d>) because it contains an unintelligible portion indicated by ""[UI]""."
5,s,The first utterance is classified as a statement (<s>) because it is a complete sentence expressing the speaker's thoughts and feelings. 
6,s,The second utterance is also classified as a statement (<s>) because it is a complete sentence providing information about the situation. 
7,q,"The third utterance is classified as a question (<q>) because it starts with the word ""What"" and is seeking information. "
8,s,The fourth utterance is classified as a statement (<s>) because it is a complete sentence expressing the speaker's opinion. 
9,d,"The fifth utterance is classified as an incomplete utterance (<d>) because it is marked with the ""[UI]"" tag, indicating that it is unintelligible."
10,s,Failed to retrieve
11,b,Failed to retrieve
12,s,Failed to retrieve
13,s,Failed to retrieve
14,s,Failed to retrieve
15,q,"The first utterance ""Do you need a tissue? I’ll put it down there for you guys."" is a question as it starts with ""Do you"" and ends with a question mark. It is asking if the person needs a tissue. "
16,q,"The second utterance ""Guys, who wants juice?"" is also a question as it starts with ""Who"" and ends with a question mark. It is asking who wants juice. "
17,s,"The third utterance ""Oh. Sure, Vika."" is a statement as it does not have any question words or question marks. It is a response to something, confirming that the speaker is okay with whatever was mentioned. "
18,q,"The utterance ""What do you need?"" is classified as a question (<q>) because it is asking what someone needs. "
19,d,"The fifth utterance ""Compote…Com-pote! Com-pote!"" is an incomplete utterance as it is interrupted by the repetition of ""Com-pote!"". It is not a complete sentence and does not fit into any other dialogue act category."
20,q,"The utterance ""Tiger?"" is a question because it ends with a question mark and is asking for information. "
21,b,"The utterance ""Yes."" is classified as a backchannel (<b>) because it is a short response that indicates the listener is following along or paying attention. "
22,q,"The utterance ""Will?"" is classified as a question (<q>) because it is a direct question asking for confirmation or clarification. "
23,q,"The utterance ""Yes, please."" is a question because it ends with a question mark and is asking for permission or agreement. "
24,q,"The utterance ""Oleg?"" is classified as a question (<q>) because it is a direct question asking for identification or confirmation."
25,q,"The first utterance is classified as a question (<q>) because it starts with the word ""Why"" and ends with a question mark. The presence of the word ""lying"" and the unintelligible utterance indicated by ""[UI]"" suggests that the speaker is questioning someone's honesty. "
26,s,The second utterance is classified as a statement (<s>) because it is a simple expression of gratitude with no indication of seeking clarification or verification. 
27,s,The third utterance is classified as a statement (<s>) because it is a declarative sentence expressing a general goal or intention. 
28,s,The fourth utterance is classified as a statement (<s>) because it is a polite request to pass something on. 
29,d,"The fifth utterance is classified as an incomplete utterance (<d>) because it ends abruptly with an exclamation and does not form a complete sentence. The interruption marked by ""Oh, shit!"" further indicates that the utterance is incomplete."
30,d,"The utterance ""I don’t know if…"" is classified as an Incomplete Utterance (<d>) because it ends abruptly and does not provide a complete statement or question. "
31,q,"The utterance ""What? What did you do?"" is classified as a Question (<q>) because it is a direct question asking for information. "
32,d,"The utterance ""Later. When we’re not…"" is classified as an Incomplete Utterance (<d>) because it ends abruptly and does not provide a complete statement or question. "
33,b,"The utterance ""Okay."" is classified as a Backchannel (<b>) because it is a short response indicating acknowledgement or agreement. "
34,q,"The utterance ""Should I dilute it for you, Will?"" is classified as a Question (<q>) because it is a direct question asking for a decision or preference."
35,s,"The utterance ""Give me half."" is classified as a statement (<s>) because it is a direct statement requesting for someone to give the speaker half of something. "
