,Utterance_ID,Dialogue_Act,Channel_ID,Speaker,Dialogue_ID,Utterance,Label,Idx
28,Bed002-c2_0059760_0059860,b,Bed002-c2,me010,Bed002,yeah .,2,28
96,Bed002-c2_0428714_0429124,b,Bed002-c2,me010,Bed002,yeah .,2,96
99,Bed002-c2_0437368_0437788,b,Bed002-c2,me010,Bed002,right .,2,99
100,Bed002-c2_0438847_0439057,b,Bed002-c2,me010,Bed002,right .,2,100
105,Bed002-c2_0448649_0448949,b,Bed002-c2,me010,Bed002,uhhuh .,2,105
120,Bed002-c2_0462049_0462389,b,Bed002-c2,me010,Bed002,right .,2,120
122,Bed002-c1_0464985_0465275,b,Bed002-c1,mn015,Bed002,right .,2,122
123,Bed002-c2_0466223_0466453,b,Bed002-c2,me010,Bed002,right .,2,123
125,Bed002-c1_0471178_0471728,b,Bed002-c1,mn015,Bed002,uhhuh .,2,125
127,Bed002-c2_0472420_0472650,b,Bed002-c2,me010,Bed002,right .,2,127
186,Bed002-c0_0641392_0641652,b,Bed002-c0,me011,Bed002,right .,2,186
198,Bed002-c1_0662518_0662688,b,Bed002-c1,mn015,Bed002,yep .,2,198
215,Bed002-c8_0703229_0703449,b,Bed002-c8,me003,Bed002,uh .,2,215
241,Bed002-c8_0797115_0797355,b,Bed002-c8,me003,Bed002,huh .,2,241
287,Bed002-c1_0962600_0963760,b,Bed002-c1,mn015,Bed002,uhhuh .,2,287
291,Bed002-c1_0968035_0968155,b,Bed002-c1,mn015,Bed002,yep .,2,291
371,Bed002-c8_1216170_1216440,b,Bed002-c8,me003,Bed002,huh .,2,371
427,Bed002-c1_1420100_1420720,b,Bed002-c1,mn015,Bed002,uhhuh .,2,427
435,Bed002-c8_1454880_1455140,b,Bed002-c8,me003,Bed002,yeah .,2,435
451,Bed002-c1_1489310_1489800,b,Bed002-c1,mn015,Bed002,uhhuh .,2,451
454,Bed002-c1_1497780_1497950,b,Bed002-c1,mn015,Bed002,yeah .,2,454
479,Bed002-cb_1569190_1569480,b,Bed002-cb,me012,Bed002,right .,2,479
488,Bed002-c2_1586750_1586910,b,Bed002-c2,me010,Bed002,uhhuh .,2,488
515,Bed002-c1_1630110_1631190,b,Bed002-c1,mn015,Bed002,huh .,2,515
546,Bed002-c4_1714890_1716070,b,Bed002-c4,fe004,Bed002,uhhuh .,2,546
550,Bed002-c2_1718140_1718540,b,Bed002-c2,me010,Bed002,yeah .,2,550
560,Bed002-c1_1754800_1755160,b,Bed002-c1,mn015,Bed002,uhhuh .,2,560
563,Bed002-c2_1761660_1761880,b,Bed002-c2,me010,Bed002,yeah .,2,563
565,Bed002-c4_1763480_1763710,b,Bed002-c4,fe004,Bed002,uhhuh .,2,565
567,Bed002-c4_1765530_1765790,b,Bed002-c4,fe004,Bed002,right .,2,567
569,Bed002-c4_1766820_1767090,b,Bed002-c4,fe004,Bed002,right .,2,569
573,Bed002-c4_1774370_1774630,b,Bed002-c4,fe004,Bed002,uhhuh .,2,573
