,sender,recipient,content,block,session,labels,labels_h
0,teamGeo,teamGeo,Sedimentologist: Anybody home?\n,0,1,4,question
1,teamGeo,teamGeo,Sedimentologist: Mic check 1-2,0,1,0,statement
2,vc2,eng3,We cannot calculate the terrain cost. Any tips?,0,1,4,question
3,eng3,eng1,hello - this is fluid engineering.,1,1,0,statement
4,geo2,geo1,Hello/zdravstvuyte\n,1,1,0,statement
5,teamGeo,teamGeo,Sedimentologist: Comms Check - please acknowledge,1,1,0,statement
6,teamGeo,teamGeo,Structural Geologist: Hello\nZdravstvuyte\n,1,1,0,statement
7,eng3,eng1,can you confirm you have received our message?,1,1,4,question
8,teamGeo,teamGeo,Sedimentologist: Privet! Excellent. ,1,1,0,statement
9,teamGeo,teamGeo,Hydrogeologist: Hello!\n,1,1,0,statement
10,teamGeo,teamGeo,Sedimentologist: Our team is currently readjusting our communications and will CM shortly. Glad we have a connection here!,1,1,0,statement
11,teamvc,teamvc,Martian Terrain Specialist: Hello from Chicago!,1,1,0,statement
12,eng1,eng3,starting\n,1,1,0,statement
13,vc2,vc1,Hello from Chicago!,1,1,0,statement
14,con1,con2,hello,1,1,0,statement
15,teamGeo,teamGeo,Structural Geologist: what does CM mean?,1,1,4,question
16,con1,con3,hello,1,1,0,statement
17,vc3,vc1,"Hey, this is the northwestern team! \n",1,1,0,statement
18,eng2,eng1,Hello! This is the Mechanical Engineering team making contact\n,1,1,0,statement
19,teamvc,teamvc,Martian Meteorology Specialist: Hello there! Greetings from Moscow!\n,1,1,0,statement
20,eng3,eng1,currently we are just waiting on Geology to decide on a location - then others will get started fulfilling their roles.,1,1,0,statement
21,vc1,vc3,Hello! This is the Martian meteorology specialist from over in Moscow!,1,1,0,statement
22,vc1,vc2,Hello from Moscow! :) Glad we're not connected!\n,1,1,0,statement
23,vc1,vc2,we're NOW*** connected,1,1,0,statement
24,vc3,vc1,Nice to meet you :) ,1,1,0,statement
25,con1,con2,from Chicago,1,1,0,statement
26,con1,con3,from chicago,1,1,0,statement
27,vc2,vc1,Glad we're connected! Nice to meet you. How are you doing?,1,1,4,question
28,teamGeo,teamGeo,Sedimentologist: Sorry - Continue Mission*\n,1,1,0,statement
29,eng1,eng2,hello,1,1,0,statement
30,teamvc,teamvc,Martian Meteorology Specialist: Just to let you know - we're currently going around the room to understand even within our room what our roles are and what each of our goals are \n,1,1,0,statement
31,con2,con1,Hello,1,1,0,statement
32,con3,con1,hi from mars ,1,1,0,statement
33,teamGeo,teamGeo,Structural Geologist: We are looking at several locations. Do you have suggested coordinates?,1,1,4,question
34,teamGeo,teamGeo,Sedimentologist: We had to sort out a connections issue and are moving forward with understanding each others' tasks now\n,1,1,0,statement
35,vc1,vc2,"Great! Question - if I do conversation to the full space factors team chat, you see my messages there, too, right?\n",1,1,4,question
36,teamGeo,teamGeo,Sedimentologist: Negative. We Will within the next 15-20 minutes.,1,1,0,statement
37,vc1,vc3,Likewise!\n,1,1,0,statement
38,eng2,eng1,Looking forward to working with you!,1,1,0,statement
39,vc2,vc1,"Yes, we can see them.",1,1,0,statement
40,teamvc,teamvc,Martian Terrain Specialist: Got it!,1,1,0,statement
41,teamvc,teamvc,"Martian Meteorology Specialist: I have a question - for my role, there's areas in the decision calc with \""proximity\"" to different zones, but what exactly do the values mean?\nis it units of distance? \n",1,1,0,statement
42,con1,con2,how long is the drilling time ,1,1,0,statement
43,teamvc,teamvc,"Martian Terrain Specialist: Yes, I believe they are the average distance in miles from the landmarks.",2,1,0,statement
44,eng2,geo2,Hello! do you have any possible locations that you are looking at so the mechanical engineers can start designing the well?,2,1,4,question
45,con1,con2,"for (33, 26)",2,1,0,statement
46,con1,con3,"for (33, 26) we are using local parts",2,1,0,statement
47,con1,con3,enjoy mars :),2,1,0,statement
48,geo2,eng2,read,2,1,0,statement
49,con1,con3,what drill brand and head are we using?,2,1,4,question
50,teamvc,teamvc,"Martian Meteorology Specialist: Ok so, what is the best way to go about this? Will we receive potential locations on Mars? And then we determine the locations that I agree with when it comes to safety zones? \n",2,1,4,question
51,teamGeo,teamGeo,"Structural Geologist: We are currently evaluating 17,28",2,1,0,statement
52,eng2,eng1,"Our  Structural Geologists gave us the coordinates (17, 28) to start evaluating",2,1,0,statement
53,con1,con2,We're using local parts,2,1,0,statement
54,teamvc,teamvc,"Martian Terrain Specialist: Ok, so the geologists have told us to try (17,28)",2,1,0,statement
55,teamvc,teamvc,"Martian Meteorology Specialist: Yes, I just input that into my map\n",2,1,0,statement
56,teamConstr,teamConstr,Operations Specialist: hello,2,1,0,statement
57,teamConstr,teamConstr,Operations Specialist: we are using local parts,2,1,0,statement
58,teamConstr,teamConstr,"Operations Specialist: (33, 26)",2,1,0,statement
59,teamConstr,teamConstr,Operations Specialist: does anyone have information about the drill brand and head?,2,1,4,question
60,teamGeo,teamGeo,Sedimentologist: We are assessing that now as well and will have an update shortly.,2,1,0,statement
61,teamvc,teamvc,Martian Meteorology Specialist: This location only has 1 green zone location\n,2,1,0,statement
62,con3,con1,i need  more information regards depth what a layer we have in this area,2,1,0,statement
63,teamvc,teamvc,Martian Terrain Specialist: Should we ask the geologists if they want to try a different location?,2,1,4,question
64,con3,con1,i have to move to another grid as requested \n,2,1,0,statement
65,con1,con3,"depth: 1665, soft and rocky soil no stone",2,1,0,statement
66,con1,con3,which coordinates?,2,1,4,question
67,con3,con1,"17,28\n",2,1,0,statement
68,con1,con3,"we had to move from 17,28 because it is too expensive",2,1,0,statement
69,teamvc,teamvc,"Martian Meteorology Specialist: I think so.  I noticed 17, 35 has a lot of green zones\nany thoughts about that? \n",2,1,0,statement
70,con3,geo2,"hi im in location 17,28 ",2,1,0,statement
71,con1,con3,"We're looking at 12,9 now\n",2,1,0,statement
72,con1,con2,"we're looking at 12,9 now",2,1,0,statement
73,teamvc,teamvc,"Martian Terrain Specialist: Geologists told us 17, 35 is pretty undoable. Let's try 12, 9 ",2,1,0,statement
74,teamGeo,teamGeo,"Sedimentologist: Has the site moved to 12, 9?\n",2,1,0,statement
75,con3,con1,ok,2,1,0,statement
76,teamvc,teamvc,"Martian Terrain Specialist: Ok there's only 1 green zone in 12,9 and there is very little water so maybe not that either.",2,1,0,statement
77,con1,con3,"NVM 12,9 isn't viable\nwe're looking for a new location right now",2,1,0,statement
78,teamGeo,teamGeo,"Sedimentologist: Or are we still assessing 17, 28? A large contingent of the team here is saying that doesn't look",2,1,4,question
79,teamGeo,teamGeo,Sedimentologist: Comm check please acknowledge,2,1,0,statement
80,teamvc,teamvc,"Martian Meteorology Specialist: what about 30, 30?\nthat looks great to me from meteorology perspective",2,1,4,question
81,teamGeo,teamGeo,"Sedimentologist: Rather, 12, 9 doesn't work - 17, 28 seemed closer but we had cost issues",2,1,0,statement
82,teamConstr,teamGeo,Materials Specialist: is there any location \n,2,1,0,statement
83,teamConstr,teamGeo,Materials Specialist: we can head to ,2,1,0,statement
84,teamGeo,teamConstr,"Structural Geologist: consider 44,43 ",2,1,0,statement
85,teamConstr,teamConstr,"Operations Specialist: We're choosing 44,43",2,1,0,statement
86,teamConstr,teamGeo,Operations Specialist: yes we're agreeing to that,2,1,0,statement
87,teamvc,teamvc,"Martian Terrain Specialist: What about 44, 43 because apparently 30, 30 is not great from the geological perspective?",2,1,4,question
88,teamConstr,teamConstr,"Operations Specialist: drill brand and head for 44,43? also drilling method",2,1,4,question
89,vc3,vc1,"how do you guys feel about 44,33?\n",2,1,4,question
90,con1,con3,"We're now doing 44,43\nwe need to know the drill brand, head, and equipment material and duty",2,1,0,statement
91,con1,con3,In this area the water depth is 810 and there is soft and rocky soil but not stone,2,1,0,statement
92,teamvc,teamvc,"Martian Meteorology Specialist: During sign off phase, we cannot talk anymore? test test?\n",2,1,4,question
93,eng2,geo1,Do you have any other locations in mind for this well?\n,2,1,4,question
94,teamvc,teamvc,Martian Terrain Specialist: We can talk,2,1,0,statement
95,teamvc,teamvc,Martian Meteorology Specialist: What coordinates are we assessing in the sign off currently?\n,2,1,4,question
96,teamGeo,teamGeo,Sedimentologist: Have y'all gotten the signoff command?\n,2,1,4,question
97,teamGeo,teamGeo,Sedimentologist: What coordinates are we currently at?,2,1,4,question
98,teamvc,teamvc,Martian Meteorology Specialist: None of us here are certain,2,1,0,statement
99,teamvc,teamvc,"Martian Terrain Specialist: Just now, we have decided to look at 48, 4",2,1,0,statement
100,teamvc,teamvc,Martian Meteorology Specialist: so are we not signing off right now?\n,2,1,0,statement
101,teamvc,teamvc,"Martian Terrain Specialist: No sorry 41, 17 now",2,1,0,statement
102,con3,con1,"they change the place to 41,17\n",2,1,0,statement
103,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
104,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
105,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
106,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
107,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
108,teamvc,teamvc,Martian Meteorology Specialist: I'm good with that one actually\nit's decent. ,2,1,0,statement
109,teamvc,teamvc,"Martian Meteorology Specialist: how do we show on the signoff page that we are assessing 41,17?\n",2,1,0,statement
110,con1,con3,ok\n,2,1,1,disruption
111,teamvc,teamvc,Martian Terrain Specialist: The geologists need to do that I think,2,1,0,statement
112,con1,con3,drill brand and head??,2,1,4,question
113,teamvc,teamvc,"Martian Terrain Specialist: We need to decide on training (hygiene, usability, maintenance, fundraising)?",2,1,4,question
114,con1,con2,"41,17 - soft and rocky soil, no stone",2,1,0,statement
115,geo1,eng2,44/43,2,1,0,statement
116,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
117,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
118,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
119,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
120,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
121,teamvc,teamvc,"Martian Meteorology Specialist: ok so since we have 1 green zone here and 1 orange zone here, that means that hygiene and maintenance training is impacted (0 for yellow and red)\n",2,1,0,statement
122,teamvc,teamvc,Martian Meteorology Specialist: so that means that we need hygiene and maintenence training,2,1,0,statement
123,teamvc,teamvc,Martian Terrain Specialist: OK which number should I select for those? It goes from 1-12,2,1,4,question
124,teamvc,teamvc,Martian Terrain Specialist: And do we need servicing?,2,1,4,question
125,teamvc,teamvc,Martian Meteorology Specialist: 1 for hygiene\n1 for maintenance\n,2,1,0,statement
126,teamvc,teamvc,Martian Meteorology Specialist: 1 for hygiene\n1 for maintenance\n,2,1,0,statement
127,teamvc,teamvc,Martian Meteorology Specialist: 1 for hygiene\n1 for maintenance\n,2,1,0,statement
128,con3,con1,put it on\n,2,1,0,statement
