,content
0, Everything is ON. I have everything.
1," I have nothing. Wait, just a second. Uno momento por favor."
2, Nothing [UI]
3," I am sitting. Oh, sorry."
4, Video [UI]
5," Oh, I started already. Phew! In my isolation?"
6," Yeah, it’s working now."
7, What is interesting there?
8, Cool. Everything? Everyone?
9, [UI]
10, Cool.
11," Yes, yes."
12, Alright.
13," Today is May 19th, 2022. It’s mission day 196. The time is 2:31PM. Three, two, one. //Mark!"
14, //Mark!
15, Do you need a tissue? I’ll put it down there for you guys.
16," Guys, who wants juice?"
17," Oh. Sure, Vika."
18, What do you need?
19, Compote…Com-pote! Com-pote!
20, Tiger?
21, Yes.
22, Will?
23," Yes, please."
24, Oleg?
25," Why are you //lying, Ash? You are enjoying [UI]"
26," No, thank you."
27, We have to make them feel good.
28," Pass it on, please."
29," Yeah, I might’ve been a little overboard there. Oh, shit!"
30, I don’t know if…
31, What? What did you do?
32, Later. When we’re not…
33, Okay.
34," Should I dilute it for you, Will?"
35, Give me half.
36, Okay.
37," It’s okay. It’s recorded, you know?"
38, I know. That’s why it’s…
39," Vika, can you get me just some water?"
40," Yes, sure."
41, Thank you.
42, Do you want it warm or cold?
43, Warm. Warm.
44," I wish they gave us, like…"
45, It can even be hot.
46," A survey, and there we would rate all the experiments. Which one we like and which one we don’t like."
47, Not wet?
48," Poop, sleep, and [SL] Belmont are going to be towards the bottom."
49, Sleep study also.
50," Yeah. Poop, sleep and [SL] Belmont. These three."
51, Please look at twenty-eight twenty-one.
52, Twenty-eight twenty-one.
53," Too good, but I don’t know if there is any water there."
54," Average water loss…//not super, but not too bad."
55, //Why is my decision calculator is not showing?
56," Overall, it’ll do. What?"
57, This thing is not coming up for me. Decision calculator is //not showing up.
58, //Because you’re not cool enough.
59, Log out and try to log in again.
60, Scoff?
61," Ah, there it is."
62, Which point?
63, [SL] I can’t change //my [UI].
64," //Oleg, what point did you have?"
65, Twenty-eight twenty-one.
66, Thank you.
67, Twenty-eight twenty-one.
68, Twenty-one.
69, //Why does it not want to work?
70, //It’s okay.
71, //Yes.
72, There on [UI] only large ones.
73," Yes, yes, yes."
74, Without much loss.
75, Not the worst.
76," Sorry, I still can’t see it because I am having an issue."
77," Is there water, or?"
78, Yeah.
79," So, it’s good for everyone?"
80, Ask them. I still can’t check.
81, I assume there isn’t that much there.
82, Now everything is showing. Okay.
83, Sixty-two.
84, It is very good for me. Did we find our point already?
85, Okay…This one is great – thirteen sixteen.
86, Thirteen sixteen.
87, Sixteen?
88, Thirteen sixteen.
89," Yeah. …Not bad. //In fact, it is very…in fact, it is very good."
90, //Not bad at all.
91, Not too much loss…
92, Because for me the loss is only 10%.
93, Population is much better.
94," Well, I have 69% loss, but there is so much water there that it is not as important."
95, Please tell me what point it is.
96, Thirteen sixteen.
97, Thank you.
98, Okay.
99," The water is murky there, but it is well within the first step of cleaning. Only ten percent loss."
100, It’s okay.
101, I understand that it is okay for Salya too. It’s not too deep.
102, Another similar one – six twenty-nine.
103," Six twenty-nine. It’s not too bad either. I like all of them. Thirteen sixteen is the best in terms of the population, but…"
104," Will, what about you?"
105, Which one?
106, Six twenty-nine.
107, Six twenty-nine. Just a second.
108, I will tell you right now that it is good for Salya. You don’t need it. You will like it.
109, Six twenty…
110, Nine.
111, Six?
112, Six.
113, Twenty…
114, Nine.
115, Okay.
116, No water.
117," Ah, okay. Okay."
118, Perfect.
119," But twenty-eight twenty-one and thirteen sixteen were good in terms of water, correct?"
120," Yes, yes."
121, Cool.
122," So, I have water loss at 10% maximum."
123, Phew.
124," Well, here’s another interesting one – twenty-three six."
125, Twenty-three six …No water.
126, Okay.
127," Today, Oleg was active at first."
128," Today, for me it is for some reason…Usually, I mark points, and they are all…dirty water from which no…"
129," Well, you have found water at 50% today. It is very good."
130," There, yes. But generally speaking, there is practically no clean water. So, we are having to…"
131," Four thirty-nine, please. Four thirty-nine."
132," Worse than those suggested by Oleg, but not too bad."
133, //No water.
134, //No water.
135," Well, okay."
136, And what about forty-two six?
137, Forty-two six.
138, Which one?
139, Forty-two six.
140, No water.
141, Nuts.
142," [SL] Well, okay."
143, Twenty…twenty-five sixteen.
144, Okay. Twenty-five sixteen?
145, Yeah.
146, No water.
147, Careful. The water is hot.
148, No water.
149," By way, for the most part, there is only hot water."
150, How about thirty-six six?
151, Temperature?
152, No water.
153," Well, okay."
154, Why are you starting it? We were communicating just fine.
155, [SL] Do we have a point?
156," Ho ho ho, what about thirty-five two?"
157, Is it your point or they sent you?
158, Mine.
159, Nuts.
160," Oh, no. What’s the matter?"
161," No? Oh, never mind."
162, What? [SL] Sign out.
163, Such water in general…it is at the last one.
164, How could you? Shame! Shame! Shame!
165, Alright! Alright!
166, There it is worse than in a puddle.
167, Between thirteen sixteen and twenty-five twenty-one which one do you like?
168, You mean twenty-eight twenty-one?
169, Huh?
170," It was twenty-eight twenty-one. You said twenty-eight twenty-one, didn’t you?"
171," Yes, twenty-eight twenty-one //and thirteen sixteen."
172, //It was twenty-eight twenty-one.
173, What is “large RIP”?
174, Large RIP…
175, It means that they will put in RIP.
176," Yes, yes. On the grave."
